,Date,o,h,l,c,v
0,2022-07-11 09:15:00,210.75,214.8,210.75,212.05,509787
1,2022-07-11 09:30:00,212.1,214.45,212.1,213.9,790723
2,2022-07-11 09:45:00,213.7,216.15,213.25,215.8,1170761
3,2022-07-11 10:00:00,215.95,217.85,215.65,217.65,1477227
4,2022-07-11 10:15:00,217.65,218.0,216.2,216.7,1762773
5,2022-07-11 10:30:00,216.7,216.85,214.8,215.2,1987129
6,2022-07-11 10:45:00,215.1,215.5,214.4,214.65,2182340
7,2022-07-11 11:00:00,214.65,214.65,213.25,213.7,2361259
8,2022-07-11 11:15:00,213.7,213.85,213.25,213.3,2449733
9,2022-07-11 11:30:00,213.3,214.4,213.25,213.45,2524565
10,2022-07-11 11:45:00,213.45,213.65,212.85,212.85,2603456
11,2022-07-11 12:00:00,212.85,213.45,212.7,212.8,2675510
12,2022-07-11 12:15:00,212.8,213.1,212.65,213.0,2700166
13,2022-07-11 12:30:00,213.0,213.1,212.25,212.25,2758340
14,2022-07-11 12:45:00,212.35,212.85,212.2,212.7,2804361
15,2022-07-11 13:00:00,212.7,213.0,212.25,212.35,2866567
16,2022-07-11 13:15:00,212.35,212.8,212.1,212.45,2903932
17,2022-07-11 13:30:00,212.5,213.0,212.3,213.0,2926060
18,2022-07-11 13:45:00,213.0,213.5,213.0,213.05,2967551
19,2022-07-11 14:00:00,212.95,213.4,212.6,213.25,3004561
20,2022-07-11 14:15:00,213.25,213.85,212.8,213.15,3069796
21,2022-07-11 14:30:00,213.15,213.9,213.1,213.3,3107792
22,2022-07-11 14:45:00,213.15,213.9,213.1,213.6,3157095
23,2022-07-11 15:00:00,213.6,213.85,213.2,213.35,3312665
24,2022-07-11 15:15:00,213.35,213.8,212.5,213.65,3596494
25,2022-07-11 15:30:00,213.6,213.6,213.3,213.3,3597114
26,2022-07-12 09:15:00,213.2,221.0,213.0,219.3,482651
27,2022-07-12 09:30:00,219.3,222.7,218.3,222.25,1975254
28,2022-07-12 09:45:00,222.25,223.35,221.25,223.0,2965048
29,2022-07-12 10:00:00,223.0,224.45,222.8,222.9,3936686
30,2022-07-12 10:15:00,222.9,223.0,221.55,222.6,4602776
31,2022-07-12 10:30:00,222.65,222.75,220.7,222.05,5033334
32,2022-07-12 10:45:00,222.05,222.2,221.8,221.8,5266066
