,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1490.95,1512.8,1481.65,1509.6,1096311
1,2022-07-25 09:30:00,1509.25,1509.25,1492.05,1494.45,1980535
2,2022-07-25 09:45:00,1495.0,1495.0,1490.7,1493.95,2274502
3,2022-07-25 10:00:00,1493.65,1494.8,1491.6,1493.4,2555704
4,2022-07-25 10:15:00,1493.35,1499.05,1493.35,1496.0,2956017
5,2022-07-25 10:30:00,1496.0,1496.85,1493.0,1494.15,3363438
6,2022-07-25 10:45:00,1493.9,1497.0,1493.65,1495.35,3598490
7,2022-07-25 11:00:00,1495.1,1497.85,1494.2,1494.8,3715297
8,2022-07-25 11:15:00,1494.7,1495.8,1494.3,1494.85,3825187
9,2022-07-25 11:30:00,1495.0,1499.2,1494.15,1499.1,3938424
10,2022-07-25 11:45:00,1498.55,1501.1,1498.05,1498.6,4246229
11,2022-07-25 12:00:00,1498.5,1499.45,1495.0,1496.2,4464675
12,2022-07-25 12:15:00,1496.15,1498.9,1496.15,1497.8,4571164
13,2022-07-25 12:30:00,1497.8,1499.0,1496.35,1496.7,4697520
14,2022-07-25 12:45:00,1496.8,1500.5,1496.4,1500.0,4861834
15,2022-07-25 13:00:00,1500.1,1504.8,1500.0,1504.0,5074574
16,2022-07-25 13:15:00,1504.45,1505.0,1500.0,1500.0,5288453
17,2022-07-25 13:30:00,1500.4,1510.6,1500.0,1507.7,5510724
18,2022-07-25 13:45:00,1507.25,1512.0,1506.55,1511.85,5831682
19,2022-07-25 14:00:00,1512.0,1517.15,1509.0,1509.15,6189074
20,2022-07-25 14:15:00,1509.05,1513.8,1508.35,1512.3,6516867
21,2022-07-25 14:30:00,1512.5,1512.5,1506.5,1509.6,6729006
22,2022-07-25 14:45:00,1509.65,1510.0,1507.5,1510.0,6884243
23,2022-07-25 15:00:00,1510.0,1510.0,1502.05,1502.05,7191562
24,2022-07-25 15:15:00,1502.5,1504.65,1499.65,1502.0,7659412
25,2022-07-25 15:30:00,1502.0,1503.6,1502.0,1503.6,7859308
