,Date,o,h,l,c,v
0,2022-07-11 09:15:00,17.3,17.4,17.2,17.35,112056
1,2022-07-11 09:30:00,17.3,17.35,17.25,17.35,156943
2,2022-07-11 09:45:00,17.35,17.45,17.3,17.4,224259
3,2022-07-11 10:00:00,17.4,17.6,17.4,17.5,382380
4,2022-07-11 10:15:00,17.5,17.75,17.5,17.65,530176
5,2022-07-11 10:30:00,17.65,17.65,17.55,17.6,580930
6,2022-07-11 10:45:00,17.6,17.65,17.55,17.6,635641
7,2022-07-11 11:00:00,17.6,17.6,17.55,17.6,650688
8,2022-07-11 11:15:00,17.6,17.6,17.55,17.6,664577
9,2022-07-11 11:30:00,17.6,17.6,17.5,17.6,757543
10,2022-07-11 11:45:00,17.6,17.65,17.55,17.6,849054
11,2022-07-11 12:00:00,17.65,17.7,17.6,17.65,914873
12,2022-07-11 12:15:00,17.65,17.7,17.55,17.55,960601
13,2022-07-11 12:30:00,17.55,17.65,17.55,17.6,974473
14,2022-07-11 12:45:00,17.6,17.65,17.55,17.65,992522
15,2022-07-11 13:00:00,17.6,17.7,17.55,17.55,1072360
16,2022-07-11 13:15:00,17.55,17.6,17.5,17.55,1184207
17,2022-07-11 13:30:00,17.6,17.65,17.55,17.6,1249778
18,2022-07-11 13:45:00,17.6,18.8,17.55,18.0,2753633
19,2022-07-11 14:00:00,18.05,18.05,17.85,17.95,3382928
20,2022-07-11 14:15:00,17.95,17.95,17.85,17.9,3466521
21,2022-07-11 14:30:00,17.9,17.9,17.75,17.8,3620234
22,2022-07-11 14:45:00,17.8,17.9,17.8,17.85,3721220
23,2022-07-11 15:00:00,17.85,17.85,17.75,17.8,3980434
24,2022-07-11 15:15:00,17.85,17.95,17.8,17.9,4315848
25,2022-07-11 15:30:00,17.9,17.9,17.85,17.85,4330243
26,2022-07-12 09:15:00,17.65,18.05,17.65,17.95,262441
27,2022-07-12 09:30:00,17.95,18.0,17.9,18.0,418494
28,2022-07-12 09:45:00,18.0,18.0,17.95,18.0,569744
29,2022-07-12 10:00:00,18.0,18.05,17.95,18.0,662415
30,2022-07-12 10:15:00,18.0,18.1,17.95,18.0,816186
31,2022-07-12 10:30:00,18.0,18.2,18.0,18.0,1041863
32,2022-07-12 10:45:00,18.0,18.05,18.0,18.0,1090468
