,Date,o,h,l,c,v
0,2022-07-11 09:15:00,208.4,208.9,207.0,207.5,58169
1,2022-07-11 09:30:00,207.5,208.9,207.0,208.85,115178
2,2022-07-11 09:45:00,208.9,208.9,206.7,206.9,172375
3,2022-07-11 10:00:00,207.1,209.65,206.3,208.65,254453
4,2022-07-11 10:15:00,208.4,209.7,208.0,209.2,286030
5,2022-07-11 10:30:00,209.2,209.6,208.65,209.6,308566
6,2022-07-11 10:45:00,209.6,211.2,209.5,210.4,365846
7,2022-07-11 11:00:00,210.4,211.7,210.15,211.1,420500
8,2022-07-11 11:15:00,211.1,211.45,210.5,211.0,444068
9,2022-07-11 11:30:00,211.0,211.5,210.35,210.35,461914
10,2022-07-11 11:45:00,210.35,211.0,210.05,211.0,480709
11,2022-07-11 12:00:00,210.85,211.0,210.1,210.25,483932
12,2022-07-11 12:15:00,210.1,211.45,210.1,211.1,503339
13,2022-07-11 12:30:00,211.35,211.4,210.25,211.0,520727
14,2022-07-11 12:45:00,211.0,211.45,210.7,211.3,544059
15,2022-07-11 13:00:00,211.3,211.3,210.1,210.1,563411
16,2022-07-11 13:15:00,210.2,210.7,209.55,210.25,586050
17,2022-07-11 13:30:00,210.1,210.5,209.75,210.2,596202
18,2022-07-11 13:45:00,210.2,211.65,210.2,211.45,635505
19,2022-07-11 14:00:00,211.4,211.4,211.0,211.0,656897
20,2022-07-11 14:15:00,211.0,211.25,210.5,211.0,692010
21,2022-07-11 14:30:00,211.0,211.25,210.9,210.9,714547
22,2022-07-11 14:45:00,210.9,211.0,210.05,210.5,723279
23,2022-07-11 15:00:00,210.5,210.6,209.55,210.4,769789
24,2022-07-11 15:15:00,210.4,213.15,210.3,212.25,967375
25,2022-07-11 15:30:00,211.65,211.65,211.65,211.65,967625
26,2022-07-12 09:15:00,211.9,213.4,210.95,212.3,49869
27,2022-07-12 09:30:00,212.15,212.7,211.85,212.15,109501
28,2022-07-12 09:45:00,212.15,213.45,211.7,213.15,136570
29,2022-07-12 10:00:00,213.2,214.6,213.1,214.5,204578
30,2022-07-12 10:15:00,214.5,215.8,214.35,215.25,306707
31,2022-07-12 10:30:00,215.25,215.65,213.65,213.85,402648
32,2022-07-12 10:45:00,213.85,213.95,213.6,213.8,427864
