,Date,o,h,l,c,v
0,2022-07-11 09:15:00,585.7,588.9,584.0,585.0,135518
1,2022-07-11 09:30:00,585.0,588.25,584.7,588.15,198963
2,2022-07-11 09:45:00,588.0,592.8,587.55,590.1,309122
3,2022-07-11 10:00:00,589.9,590.0,587.55,589.55,361344
4,2022-07-11 10:15:00,589.3,590.95,589.0,590.7,393362
5,2022-07-11 10:30:00,590.9,591.3,588.15,588.5,429309
6,2022-07-11 10:45:00,588.2,589.0,587.15,587.8,474255
7,2022-07-11 11:00:00,587.8,588.9,586.3,587.2,560672
8,2022-07-11 11:15:00,587.2,587.2,585.2,585.45,610883
9,2022-07-11 11:30:00,585.45,587.0,585.4,586.0,644738
10,2022-07-11 11:45:00,585.95,589.45,585.45,589.1,743300
11,2022-07-11 12:00:00,589.35,592.75,589.05,591.65,825821
12,2022-07-11 12:15:00,591.45,594.4,591.05,592.6,923417
13,2022-07-11 12:30:00,592.9,593.05,591.5,592.15,966814
14,2022-07-11 12:45:00,592.15,593.5,591.65,593.45,992372
15,2022-07-11 13:00:00,593.5,593.55,592.0,592.55,1014541
16,2022-07-11 13:15:00,592.55,593.0,591.65,592.4,1036612
17,2022-07-11 13:30:00,592.4,593.3,592.0,593.05,1071596
18,2022-07-11 13:45:00,593.05,593.7,592.1,592.3,1099697
19,2022-07-11 14:00:00,592.3,592.95,591.9,592.45,1125999
20,2022-07-11 14:15:00,592.45,593.7,592.05,593.5,1165647
21,2022-07-11 14:30:00,593.5,594.6,591.85,592.45,1221290
22,2022-07-11 14:45:00,592.45,592.5,591.55,591.8,1247824
23,2022-07-11 15:00:00,591.8,594.45,591.8,592.5,1319048
24,2022-07-11 15:15:00,592.5,593.75,592.0,592.5,1441962
25,2022-07-11 15:30:00,592.9,592.9,592.9,592.9,1442844
26,2022-07-12 09:15:00,588.75,590.45,582.55,590.2,146751
27,2022-07-12 09:30:00,590.4,593.0,589.9,591.75,290927
28,2022-07-12 09:45:00,591.4,597.6,590.95,597.15,450986
29,2022-07-12 10:00:00,597.2,601.2,597.0,599.25,704023
30,2022-07-12 10:15:00,599.25,599.6,596.4,597.6,913125
31,2022-07-12 10:30:00,597.6,597.6,596.55,596.85,983771
32,2022-07-12 10:45:00,596.85,597.0,595.95,596.7,1030198
