,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2264.8,2264.8,2235.15,2235.5,5495
1,2022-07-11 09:30:00,2235.5,2243.85,2221.75,2243.5,12397
2,2022-07-11 09:45:00,2243.5,2245.9,2238.0,2244.6,14036
3,2022-07-11 10:00:00,2244.6,2247.0,2240.0,2240.0,15259
4,2022-07-11 10:15:00,2240.0,2242.55,2232.85,2233.0,16955
5,2022-07-11 10:30:00,2232.95,2234.5,2226.0,2230.0,18067
6,2022-07-11 10:45:00,2230.0,2230.0,2227.0,2229.65,18889
7,2022-07-11 11:00:00,2229.65,2231.5,2226.05,2229.55,19568
8,2022-07-11 11:15:00,2229.55,2229.65,2227.5,2229.65,20058
9,2022-07-11 11:30:00,2229.65,2234.8,2224.1,2225.65,25260
10,2022-07-11 11:45:00,2225.65,2225.65,2215.15,2220.1,27072
11,2022-07-11 12:00:00,2220.1,2221.9,2215.1,2216.75,28800
12,2022-07-11 12:15:00,2216.75,2219.0,2215.0,2218.7,31111
13,2022-07-11 12:30:00,2218.7,2220.0,2217.7,2218.75,31729
14,2022-07-11 12:45:00,2218.75,2219.75,2215.1,2217.6,32534
15,2022-07-11 13:00:00,2217.6,2219.95,2216.5,2217.8,33374
16,2022-07-11 13:15:00,2217.8,2221.4,2215.8,2219.95,34941
17,2022-07-11 13:30:00,2219.95,2221.8,2218.4,2219.9,36580
18,2022-07-11 13:45:00,2218.5,2239.05,2218.5,2234.55,42796
19,2022-07-11 14:00:00,2234.55,2239.0,2230.0,2236.5,43904
20,2022-07-11 14:15:00,2236.5,2243.65,2235.8,2243.5,46042
21,2022-07-11 14:30:00,2243.0,2250.0,2243.0,2244.05,48705
22,2022-07-11 14:45:00,2244.05,2249.0,2233.65,2233.65,52589
23,2022-07-11 15:00:00,2233.65,2242.3,2233.65,2235.95,54634
24,2022-07-11 15:15:00,2235.95,2236.55,2228.95,2229.65,62203
25,2022-07-11 15:30:00,2234.05,2234.05,2234.05,2234.05,62203
26,2022-07-12 09:15:00,2234.0,2234.35,2210.1,2213.35,3061
27,2022-07-12 09:30:00,2213.35,2213.65,2200.0,2200.8,11015
28,2022-07-12 09:45:00,2200.8,2217.4,2196.85,2207.1,15846
29,2022-07-12 10:00:00,2207.1,2212.2,2205.7,2210.2,17625
30,2022-07-12 10:15:00,2210.2,2210.2,2202.05,2208.7,19108
31,2022-07-12 10:30:00,2208.7,2227.9,2208.7,2219.5,23240
32,2022-07-12 10:45:00,2219.5,2221.15,2219.0,2220.7,25639
