,Date,o,h,l,c,v
0,2022-07-11 09:15:00,438.9,438.9,433.25,433.25,9859
1,2022-07-11 09:30:00,433.05,433.7,431.5,432.95,13467
2,2022-07-11 09:45:00,433.35,433.35,432.0,432.65,14947
3,2022-07-11 10:00:00,432.65,434.7,432.0,434.25,17353
4,2022-07-11 10:15:00,434.25,434.7,433.35,434.0,22944
5,2022-07-11 10:30:00,434.0,434.0,433.05,433.9,25415
6,2022-07-11 10:45:00,433.35,434.0,433.2,433.55,27801
7,2022-07-11 11:00:00,434.0,434.15,433.4,434.0,31747
8,2022-07-11 11:15:00,434.0,434.0,433.35,434.0,33572
9,2022-07-11 11:30:00,433.95,434.0,433.3,434.0,35941
10,2022-07-11 11:45:00,434.0,434.15,433.5,434.0,37620
11,2022-07-11 12:00:00,434.0,434.0,433.0,434.0,241180
12,2022-07-11 12:15:00,434.0,434.0,433.4,434.0,242611
13,2022-07-11 12:30:00,434.0,434.0,433.0,433.6,244833
14,2022-07-11 12:45:00,433.6,434.0,433.4,433.4,246940
15,2022-07-11 13:00:00,433.4,434.0,433.4,434.0,250112
16,2022-07-11 13:15:00,434.0,434.0,433.35,433.5,252469
17,2022-07-11 13:30:00,433.5,434.0,433.5,433.6,255832
18,2022-07-11 13:45:00,433.6,434.0,433.6,434.0,258019
19,2022-07-11 14:00:00,434.0,434.0,433.3,433.95,262321
20,2022-07-11 14:15:00,433.95,434.0,433.25,433.95,265104
21,2022-07-11 14:30:00,433.95,434.0,433.4,434.0,267070
22,2022-07-11 14:45:00,434.0,434.0,433.25,434.0,270161
23,2022-07-11 15:00:00,433.7,434.0,433.65,434.0,275430
24,2022-07-11 15:15:00,434.0,434.0,432.1,433.5,289868
25,2022-07-11 15:30:00,433.35,433.35,433.35,433.35,289868
26,2022-07-12 09:15:00,432.3,434.8,429.3,432.4,4358
27,2022-07-12 09:30:00,432.4,433.0,431.15,431.5,12102
28,2022-07-12 09:45:00,431.5,432.95,431.5,431.85,14238
29,2022-07-12 10:00:00,431.85,432.6,431.5,432.4,15431
30,2022-07-12 10:15:00,432.4,432.4,430.4,431.0,17700
31,2022-07-12 10:30:00,431.15,431.15,428.9,428.9,21708
32,2022-07-12 10:45:00,428.9,428.95,426.65,427.8,27340
