,Date,o,h,l,c,v
0,2022-07-25 09:15:00,575.4,586.85,574.3,584.9,964320
1,2022-07-25 09:30:00,584.85,588.4,582.7,583.6,1689900
2,2022-07-25 09:45:00,583.25,584.5,577.25,579.5,2174161
3,2022-07-25 10:00:00,579.45,579.65,576.0,577.15,2567239
4,2022-07-25 10:15:00,577.3,580.6,577.1,580.4,2800434
5,2022-07-25 10:30:00,580.1,581.4,579.55,580.45,2902956
6,2022-07-25 10:45:00,580.7,581.65,579.1,580.0,2985628
7,2022-07-25 11:00:00,580.0,580.8,578.0,578.45,3087473
8,2022-07-25 11:15:00,578.45,582.5,578.05,581.1,3187644
9,2022-07-25 11:30:00,581.1,584.8,581.05,583.05,3363954
10,2022-07-25 11:45:00,583.15,584.9,582.5,584.85,3515790
11,2022-07-25 12:00:00,584.85,585.0,582.7,584.1,3636793
12,2022-07-25 12:15:00,584.1,584.65,581.35,582.1,3783850
13,2022-07-25 12:30:00,582.1,585.9,581.6,585.75,4038167
14,2022-07-25 12:45:00,585.75,586.1,583.35,583.75,4246354
15,2022-07-25 13:00:00,583.75,585.0,583.5,584.4,4306363
16,2022-07-25 13:15:00,584.35,584.45,582.0,582.5,4375410
17,2022-07-25 13:30:00,582.5,583.45,581.6,582.1,4453850
18,2022-07-25 13:45:00,582.4,583.0,581.4,582.5,4506436
19,2022-07-25 14:00:00,582.5,585.95,582.0,585.4,4626349
20,2022-07-25 14:15:00,585.25,585.7,583.1,583.85,4786548
21,2022-07-25 14:30:00,583.85,585.2,583.25,584.65,4870549
22,2022-07-25 14:45:00,584.85,588.0,583.8,586.95,4985337
23,2022-07-25 15:00:00,586.95,587.4,585.2,585.2,5288047
24,2022-07-25 15:15:00,585.1,586.0,583.2,584.9,5638486
25,2022-07-25 15:30:00,583.5,585.5,583.5,585.5,5783274
