,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1128.0,1149.75,1127.0,1132.8,54472
1,2022-07-25 09:30:00,1132.8,1149.75,1126.1,1147.0,91483
2,2022-07-25 09:45:00,1146.7,1148.0,1135.85,1138.6,115697
3,2022-07-25 10:00:00,1140.1,1145.0,1132.0,1137.75,131440
4,2022-07-25 10:15:00,1137.75,1143.75,1136.15,1139.9,144513
5,2022-07-25 10:30:00,1139.9,1142.0,1136.45,1136.9,155455
6,2022-07-25 10:45:00,1137.55,1137.55,1129.5,1129.5,162313
7,2022-07-25 11:00:00,1129.4,1131.15,1127.5,1129.75,174070
8,2022-07-25 11:15:00,1129.15,1130.0,1128.55,1130.0,178393
9,2022-07-25 11:30:00,1130.0,1136.8,1128.55,1134.55,185447
10,2022-07-25 11:45:00,1135.85,1136.0,1129.6,1133.9,191355
11,2022-07-25 12:00:00,1134.0,1134.0,1129.65,1132.5,196227
12,2022-07-25 12:15:00,1132.5,1134.15,1129.55,1133.2,199888
13,2022-07-25 12:30:00,1133.2,1139.95,1133.1,1139.95,202824
14,2022-07-25 12:45:00,1139.95,1140.0,1135.0,1137.2,210923
15,2022-07-25 13:00:00,1137.2,1138.65,1134.6,1137.0,215693
16,2022-07-25 13:15:00,1137.0,1142.5,1134.1,1141.0,230317
17,2022-07-25 13:30:00,1141.0,1141.75,1139.4,1141.0,248620
18,2022-07-25 13:45:00,1141.0,1142.0,1139.85,1140.1,253575
19,2022-07-25 14:00:00,1140.1,1150.0,1139.7,1145.95,269676
20,2022-07-25 14:15:00,1145.95,1150.0,1145.6,1150.0,305755
21,2022-07-25 14:30:00,1149.95,1160.0,1149.65,1158.95,350783
22,2022-07-25 14:45:00,1158.95,1174.85,1158.5,1167.25,401281
23,2022-07-25 15:00:00,1167.25,1170.85,1161.3,1168.45,449853
24,2022-07-25 15:15:00,1168.45,1170.0,1156.0,1160.65,488655
25,2022-07-25 15:30:00,1165.8,1165.8,1165.8,1165.8,501688
