,Date,o,h,l,c,v
0,2022-07-11 09:15:00,353.8,357.2,353.8,357.0,2386
1,2022-07-11 09:30:00,357.0,357.0,355.9,356.9,3519
2,2022-07-11 09:45:00,356.9,357.8,356.9,357.8,4524
3,2022-07-11 10:00:00,357.8,357.8,354.3,355.15,7352
4,2022-07-11 10:15:00,355.15,355.95,355.0,355.0,7958
5,2022-07-11 10:30:00,355.0,355.3,354.65,355.0,8789
6,2022-07-11 10:45:00,355.0,355.5,354.65,355.15,10413
7,2022-07-11 11:00:00,355.45,355.5,354.5,355.1,109570
8,2022-07-11 11:15:00,355.1,355.1,354.05,354.95,114619
9,2022-07-11 11:30:00,354.95,355.0,354.2,354.35,115264
10,2022-07-11 11:45:00,354.35,355.0,354.35,354.7,116217
11,2022-07-11 12:00:00,354.7,355.2,353.7,354.0,119059
12,2022-07-11 12:15:00,354.0,354.8,353.95,354.25,120719
13,2022-07-11 12:30:00,354.25,354.3,353.7,354.3,121448
14,2022-07-11 12:45:00,354.3,354.3,354.0,354.3,121567
15,2022-07-11 13:00:00,354.3,354.3,353.8,354.3,122357
16,2022-07-11 13:15:00,354.3,354.3,353.9,354.3,122873
17,2022-07-11 13:30:00,354.3,354.3,354.0,354.0,124354
18,2022-07-11 13:45:00,354.0,354.3,353.5,354.3,126113
19,2022-07-11 14:00:00,354.3,354.85,353.8,354.85,126567
20,2022-07-11 14:15:00,354.85,355.0,354.5,354.85,126588
21,2022-07-11 14:30:00,354.85,355.0,353.5,353.5,130158
22,2022-07-11 14:45:00,353.5,354.95,353.5,354.45,131441
23,2022-07-11 15:00:00,354.45,354.95,353.65,354.85,133031
24,2022-07-11 15:15:00,354.85,354.85,353.5,354.0,139111
25,2022-07-11 15:30:00,354.4,354.4,354.15,354.15,139158
26,2022-07-12 09:15:00,354.75,357.6,354.75,356.3,3273
27,2022-07-12 09:30:00,356.3,357.0,356.0,356.0,6346
28,2022-07-12 09:45:00,356.0,356.4,355.1,355.25,8095
29,2022-07-12 10:00:00,355.25,355.95,354.85,355.3,12025
30,2022-07-12 10:15:00,355.3,356.55,355.3,356.1,12833
31,2022-07-12 10:30:00,356.1,356.15,355.8,356.1,13087
32,2022-07-12 10:45:00,356.1,356.5,355.85,355.9,13782
