,Date,o,h,l,c,v
0,2022-07-25 09:15:00,401.1,404.35,400.9,401.05,5233
1,2022-07-25 09:30:00,401.3,401.3,398.05,398.4,7936
2,2022-07-25 09:45:00,398.4,398.4,396.1,397.25,12307
3,2022-07-25 10:00:00,397.25,397.85,396.55,397.25,14575
4,2022-07-25 10:15:00,396.7,399.1,396.2,399.1,20152
5,2022-07-25 10:30:00,399.1,400.0,398.95,399.35,27678
6,2022-07-25 10:45:00,399.35,399.35,399.0,399.2,30030
7,2022-07-25 11:00:00,399.3,399.3,399.0,399.2,31926
8,2022-07-25 11:15:00,399.2,399.8,398.9,398.9,33949
9,2022-07-25 11:30:00,398.9,399.8,398.9,399.45,35346
10,2022-07-25 11:45:00,399.45,399.8,398.85,399.8,36424
11,2022-07-25 12:00:00,399.8,400.0,399.0,399.45,37548
12,2022-07-25 12:15:00,399.45,399.95,399.35,399.7,38098
13,2022-07-25 12:30:00,399.65,399.65,399.2,399.55,38359
14,2022-07-25 12:45:00,399.1,399.9,399.1,399.8,38958
15,2022-07-25 13:00:00,399.9,399.9,399.1,399.35,40549
16,2022-07-25 13:15:00,399.35,399.85,399.0,399.85,42285
17,2022-07-25 13:30:00,399.85,400.3,399.45,400.3,42987
18,2022-07-25 13:45:00,400.3,400.3,399.1,399.1,43276
19,2022-07-25 14:00:00,399.65,400.15,399.4,399.75,44294
20,2022-07-25 14:15:00,399.75,400.9,399.45,400.9,44858
21,2022-07-25 14:30:00,401.0,401.5,400.7,401.25,46049
22,2022-07-25 14:45:00,401.25,402.15,400.0,401.8,48470
23,2022-07-25 15:00:00,401.8,404.0,400.05,403.05,54288
24,2022-07-25 15:15:00,403.05,404.4,401.5,401.5,63428
25,2022-07-25 15:30:00,401.5,402.8,401.5,402.8,68190
