,Date,o,h,l,c,v
0,2022-07-25 09:15:00,53.2,53.9,53.05,53.65,363991
1,2022-07-25 09:30:00,53.65,54.05,53.4,54.0,869291
2,2022-07-25 09:45:00,54.0,54.05,53.3,53.4,1222321
3,2022-07-25 10:00:00,53.45,53.9,53.4,53.7,1656585
4,2022-07-25 10:15:00,53.7,54.3,53.55,54.0,1847621
5,2022-07-25 10:30:00,54.0,54.6,53.9,54.25,2305142
6,2022-07-25 10:45:00,54.25,54.3,53.8,54.1,2697763
7,2022-07-25 11:00:00,54.1,54.1,53.5,53.6,2903796
8,2022-07-25 11:15:00,53.6,53.75,53.4,53.6,3175712
9,2022-07-25 11:30:00,53.6,53.85,53.5,53.6,3321618
10,2022-07-25 11:45:00,53.6,53.8,53.55,53.8,3444226
11,2022-07-25 12:00:00,53.8,53.85,53.55,53.65,3500763
12,2022-07-25 12:15:00,53.65,54.55,53.6,54.2,3674650
13,2022-07-25 12:30:00,54.1,55.0,53.5,54.4,6002697
14,2022-07-25 12:45:00,54.35,54.4,53.3,53.7,7916174
15,2022-07-25 13:00:00,53.7,53.9,53.4,53.7,8418039
16,2022-07-25 13:15:00,53.7,53.8,53.55,53.55,8607730
17,2022-07-25 13:30:00,53.55,53.65,53.4,53.55,8754498
18,2022-07-25 13:45:00,53.55,53.8,53.4,53.65,8964187
19,2022-07-25 14:00:00,53.65,54.6,53.45,54.6,9245880
20,2022-07-25 14:15:00,54.6,54.7,54.05,54.1,9861989
21,2022-07-25 14:30:00,54.1,55.2,54.0,55.15,10167815
22,2022-07-25 14:45:00,55.1,55.7,54.8,55.0,11972074
23,2022-07-25 15:00:00,55.0,55.45,55.0,55.3,12769967
24,2022-07-25 15:15:00,55.3,55.85,54.75,54.95,13549950
25,2022-07-25 15:30:00,54.9,55.35,54.9,55.35,13857906
