,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1188.05,1203.85,1187.15,1200.85,11438
1,2022-07-25 09:30:00,1200.85,1206.45,1199.35,1201.8,27057
2,2022-07-25 09:45:00,1201.8,1202.5,1197.9,1201.0,38222
3,2022-07-25 10:00:00,1202.2,1216.05,1202.2,1216.05,50974
4,2022-07-25 10:15:00,1216.5,1224.0,1216.0,1216.55,73605
5,2022-07-25 10:30:00,1217.0,1217.9,1213.15,1214.8,86503
6,2022-07-25 10:45:00,1214.8,1219.8,1213.85,1214.55,96023
7,2022-07-25 11:00:00,1214.95,1215.75,1208.65,1208.65,108374
8,2022-07-25 11:15:00,1208.65,1210.0,1208.65,1210.0,116254
9,2022-07-25 11:30:00,1209.55,1210.0,1209.5,1209.5,120036
10,2022-07-25 11:45:00,1209.85,1210.0,1209.8,1210.0,124915
11,2022-07-25 12:00:00,1210.0,1210.0,1208.8,1209.2,128758
12,2022-07-25 12:15:00,1209.2,1210.0,1209.2,1210.0,132411
13,2022-07-25 12:30:00,1210.0,1212.3,1208.4,1209.5,139831
14,2022-07-25 12:45:00,1209.5,1209.8,1208.0,1208.0,143354
15,2022-07-25 13:00:00,1207.95,1209.2,1205.05,1208.2,151019
16,2022-07-25 13:15:00,1208.0,1209.8,1202.0,1204.15,164991
17,2022-07-25 13:30:00,1204.15,1205.2,1198.7,1199.0,171721
18,2022-07-25 13:45:00,1199.0,1201.0,1198.7,1199.95,177372
19,2022-07-25 14:00:00,1199.95,1200.0,1199.0,1199.9,180503
20,2022-07-25 14:15:00,1199.05,1207.0,1199.05,1204.5,186915
21,2022-07-25 14:30:00,1204.5,1205.0,1202.0,1202.05,194730
22,2022-07-25 14:45:00,1202.95,1204.2,1202.05,1202.15,197983
23,2022-07-25 15:00:00,1202.15,1207.75,1199.05,1199.5,202590
24,2022-07-25 15:15:00,1199.5,1203.8,1193.2,1199.0,219105
25,2022-07-25 15:30:00,1199.0,1199.0,1198.7,1198.7,225986
