,Date,o,h,l,c,v
0,2022-07-25 09:15:00,252.7,253.45,250.05,250.05,6171
1,2022-07-25 09:30:00,250.55,250.75,249.4,249.4,12823
2,2022-07-25 09:45:00,249.4,249.7,249.0,249.35,16280
3,2022-07-25 10:00:00,249.35,249.4,248.3,248.95,19755
4,2022-07-25 10:15:00,248.95,249.0,248.5,249.0,22019
5,2022-07-25 10:30:00,249.0,249.05,248.2,248.6,23904
6,2022-07-25 10:45:00,248.55,249.35,248.25,249.05,25355
7,2022-07-25 11:00:00,249.05,249.15,248.25,248.25,27577
8,2022-07-25 11:15:00,248.25,249.15,248.0,249.15,30096
9,2022-07-25 11:30:00,249.15,250.3,249.15,250.3,33213
10,2022-07-25 11:45:00,250.3,250.95,250.0,250.45,36248
11,2022-07-25 12:00:00,250.7,250.8,250.0,250.0,38278
12,2022-07-25 12:15:00,250.0,251.4,250.0,250.75,39292
13,2022-07-25 12:30:00,250.75,251.45,250.15,250.5,40265
14,2022-07-25 12:45:00,250.5,251.0,250.1,251.0,40766
15,2022-07-25 13:00:00,251.0,251.0,250.15,250.15,41436
16,2022-07-25 13:15:00,250.15,250.75,250.05,250.75,42248
17,2022-07-25 13:30:00,250.75,250.8,250.15,250.15,43034
18,2022-07-25 13:45:00,250.15,250.6,250.05,250.5,43634
19,2022-07-25 14:00:00,250.5,250.95,250.2,250.8,44383
20,2022-07-25 14:15:00,250.8,252.5,250.8,252.35,48638
21,2022-07-25 14:30:00,252.35,253.0,252.0,252.35,51688
22,2022-07-25 14:45:00,252.35,252.5,252.0,252.35,53415
23,2022-07-25 15:00:00,252.35,252.5,251.9,252.0,56865
24,2022-07-25 15:15:00,252.0,252.7,250.65,250.75,64014
25,2022-07-25 15:30:00,252.25,252.25,251.95,251.95,68650
