,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1815.35,1848.8,1808.8,1839.0,201809
1,2022-07-25 09:30:00,1839.0,1841.5,1823.7,1824.55,348769
2,2022-07-25 09:45:00,1824.55,1828.75,1812.2,1813.75,475831
3,2022-07-25 10:00:00,1813.5,1814.9,1807.2,1811.15,572315
4,2022-07-25 10:15:00,1811.15,1812.0,1796.1,1796.7,645341
5,2022-07-25 10:30:00,1797.35,1801.7,1795.0,1795.55,710940
6,2022-07-25 10:45:00,1795.55,1799.0,1794.0,1797.15,750249
7,2022-07-25 11:00:00,1797.45,1799.5,1794.5,1795.4,781079
8,2022-07-25 11:15:00,1795.4,1796.7,1792.0,1794.15,811989
9,2022-07-25 11:30:00,1793.95,1795.0,1787.35,1788.0,846718
10,2022-07-25 11:45:00,1788.05,1796.0,1786.6,1796.0,918892
11,2022-07-25 12:00:00,1795.0,1796.7,1790.75,1791.05,972909
12,2022-07-25 12:15:00,1791.05,1792.55,1788.75,1790.05,1005231
13,2022-07-25 12:30:00,1789.4,1794.9,1789.2,1794.5,1033553
14,2022-07-25 12:45:00,1794.5,1794.5,1789.2,1792.5,1057342
15,2022-07-25 13:00:00,1792.5,1796.85,1790.15,1796.0,1083314
16,2022-07-25 13:15:00,1796.0,1798.0,1790.35,1792.65,1191367
17,2022-07-25 13:30:00,1792.5,1792.5,1785.2,1788.2,1276272
18,2022-07-25 13:45:00,1788.05,1789.7,1785.5,1788.0,1328977
19,2022-07-25 14:00:00,1788.0,1796.9,1787.0,1796.1,1382012
20,2022-07-25 14:15:00,1795.95,1801.5,1794.9,1800.5,1441998
21,2022-07-25 14:30:00,1800.5,1801.85,1797.35,1800.1,1518580
22,2022-07-25 14:45:00,1800.1,1800.2,1792.15,1793.9,1574160
23,2022-07-25 15:00:00,1793.85,1799.0,1792.55,1794.45,1675152
24,2022-07-25 15:15:00,1794.7,1797.5,1793.5,1795.8,1819043
25,2022-07-25 15:30:00,1795.8,1795.8,1795.55,1795.55,1886065
