,Date,o,h,l,c,v
0,2022-07-25 09:15:00,534.9,541.85,530.6,539.6,135046
1,2022-07-25 09:30:00,539.6,539.95,533.55,534.4,299892
2,2022-07-25 09:45:00,534.0,537.2,533.35,535.35,360988
3,2022-07-25 10:00:00,535.35,536.0,533.15,535.65,404937
4,2022-07-25 10:15:00,535.65,536.0,534.0,535.0,437539
5,2022-07-25 10:30:00,535.5,535.5,533.1,534.15,467731
6,2022-07-25 10:45:00,534.15,534.55,533.3,534.4,489070
7,2022-07-25 11:00:00,534.4,534.85,533.05,533.05,503695
8,2022-07-25 11:15:00,533.35,533.9,532.5,532.75,523361
9,2022-07-25 11:30:00,533.0,533.0,531.3,531.8,548034
10,2022-07-25 11:45:00,531.55,532.45,530.3,531.1,570482
11,2022-07-25 12:00:00,531.1,531.6,530.15,530.8,588083
12,2022-07-25 12:15:00,530.8,531.55,530.55,531.25,599796
13,2022-07-25 12:30:00,531.25,531.55,529.15,530.25,621385
14,2022-07-25 12:45:00,530.25,533.9,529.8,533.9,645787
15,2022-07-25 13:00:00,533.9,536.3,532.5,534.95,699782
16,2022-07-25 13:15:00,534.95,535.95,534.0,534.7,738579
17,2022-07-25 13:30:00,534.65,535.5,533.8,534.3,760334
18,2022-07-25 13:45:00,534.3,535.0,533.0,533.5,774802
19,2022-07-25 14:00:00,533.15,534.0,532.25,532.65,790447
20,2022-07-25 14:15:00,532.35,533.85,531.0,533.3,806509
21,2022-07-25 14:30:00,533.3,534.85,533.1,534.0,819170
22,2022-07-25 14:45:00,534.0,534.2,533.0,533.15,837709
23,2022-07-25 15:00:00,533.35,533.45,530.1,530.25,873765
24,2022-07-25 15:15:00,530.7,531.8,528.55,531.0,944188
25,2022-07-25 15:30:00,531.0,531.0,530.55,530.55,980944
