,Date,o,h,l,c,v
0,2022-07-11 09:15:00,506.35,506.35,501.0,502.05,25994
1,2022-07-11 09:30:00,502.05,502.4,496.0,497.8,55964
2,2022-07-11 09:45:00,497.8,498.6,497.4,497.6,62146
3,2022-07-11 10:00:00,497.4,498.25,495.0,497.8,78657
4,2022-07-11 10:15:00,497.8,500.0,497.25,499.6,90161
5,2022-07-11 10:30:00,499.6,499.6,496.35,496.65,101375
6,2022-07-11 10:45:00,496.65,497.0,496.0,496.0,107584
7,2022-07-11 11:00:00,496.05,498.0,496.0,497.2,113158
8,2022-07-11 11:15:00,497.2,498.9,496.85,498.5,117158
9,2022-07-11 11:30:00,498.5,498.9,497.0,497.9,121151
10,2022-07-11 11:45:00,497.9,498.8,497.0,497.3,123951
11,2022-07-11 12:00:00,497.15,498.45,497.15,497.85,126432
12,2022-07-11 12:15:00,497.85,497.85,496.65,497.15,130809
13,2022-07-11 12:30:00,496.8,497.35,496.5,496.8,136070
14,2022-07-11 12:45:00,496.8,496.95,496.0,496.55,142685
15,2022-07-11 13:00:00,496.55,499.2,496.0,498.65,152012
16,2022-07-11 13:15:00,498.65,502.0,497.3,501.65,174852
17,2022-07-11 13:30:00,501.65,502.0,501.15,501.15,182827
18,2022-07-11 13:45:00,501.15,504.0,500.3,500.3,198022
19,2022-07-11 14:00:00,499.35,502.5,495.0,498.95,284717
20,2022-07-11 14:15:00,499.25,499.25,497.1,498.1,297044
21,2022-07-11 14:30:00,498.2,498.2,496.0,496.7,303216
22,2022-07-11 14:45:00,497.05,497.05,496.05,497.0,309769
23,2022-07-11 15:00:00,496.8,497.7,496.1,496.25,323353
24,2022-07-11 15:15:00,496.25,497.75,494.6,497.75,350474
25,2022-07-11 15:30:00,495.8,495.8,495.8,495.8,350695
26,2022-07-12 09:15:00,496.6,500.65,491.25,497.95,12015
27,2022-07-12 09:30:00,498.45,498.65,495.15,496.0,23321
28,2022-07-12 09:45:00,496.4,496.9,492.45,494.6,31523
29,2022-07-12 10:00:00,494.6,494.95,491.5,491.85,42870
30,2022-07-12 10:15:00,491.95,491.95,488.55,490.35,58439
31,2022-07-12 10:30:00,490.35,491.5,489.9,490.75,70179
32,2022-07-12 10:45:00,490.75,492.0,489.95,489.95,78167
