,Date,o,h,l,c,v
0,2022-07-25 09:15:00,249.35,252.8,246.1,252.5,23536
1,2022-07-25 09:30:00,251.9,251.95,248.25,251.25,59770
2,2022-07-25 09:45:00,251.3,253.35,250.7,252.4,85468
3,2022-07-25 10:00:00,252.0,252.15,250.05,251.0,120137
4,2022-07-25 10:15:00,251.0,251.35,250.0,250.35,127291
5,2022-07-25 10:30:00,250.35,251.35,248.85,249.45,160461
6,2022-07-25 10:45:00,249.45,250.2,249.35,249.85,180592
7,2022-07-25 11:00:00,249.85,250.05,249.05,249.05,183074
8,2022-07-25 11:15:00,249.05,249.45,248.85,249.0,185340
9,2022-07-25 11:30:00,249.0,249.35,248.85,249.35,187497
10,2022-07-25 11:45:00,249.35,249.6,248.9,249.5,188900
11,2022-07-25 12:00:00,249.5,250.6,249.05,250.45,192108
12,2022-07-25 12:15:00,250.45,250.55,250.1,250.55,195893
13,2022-07-25 12:30:00,250.55,251.15,248.65,249.05,212728
14,2022-07-25 12:45:00,249.05,250.0,248.35,249.45,224254
15,2022-07-25 13:00:00,249.45,249.9,249.2,249.65,233393
16,2022-07-25 13:15:00,249.65,249.75,249.4,249.4,238575
17,2022-07-25 13:30:00,249.4,249.7,249.1,249.25,244397
18,2022-07-25 13:45:00,249.25,249.75,248.1,248.4,257625
19,2022-07-25 14:00:00,248.4,249.15,248.15,248.7,265409
20,2022-07-25 14:15:00,248.7,249.45,248.5,249.25,273340
21,2022-07-25 14:30:00,249.25,249.45,249.0,249.2,279072
22,2022-07-25 14:45:00,249.2,249.35,248.45,249.0,283628
23,2022-07-25 15:00:00,249.25,249.45,248.65,248.8,293854
24,2022-07-25 15:15:00,248.7,249.0,247.0,247.95,316071
25,2022-07-25 15:30:00,247.95,248.35,247.95,248.35,330775
