,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2093.0,2098.3,2082.05,2090.0,6883
1,2022-07-25 09:30:00,2089.85,2090.0,2080.35,2088.7,15137
2,2022-07-25 09:45:00,2086.3,2087.5,2076.3,2080.75,18912
3,2022-07-25 10:00:00,2080.75,2095.0,2080.0,2094.0,21955
4,2022-07-25 10:15:00,2093.95,2114.25,2092.5,2099.25,31925
5,2022-07-25 10:30:00,2099.65,2103.0,2098.1,2102.15,42431
6,2022-07-25 10:45:00,2102.15,2102.15,2090.0,2093.2,45978
7,2022-07-25 11:00:00,2093.2,2093.5,2082.25,2087.25,49313
8,2022-07-25 11:15:00,2087.25,2087.25,2081.0,2085.95,53936
9,2022-07-25 11:30:00,2085.95,2086.05,2077.0,2078.85,56915
10,2022-07-25 11:45:00,2078.85,2089.0,2078.85,2088.0,60064
11,2022-07-25 12:00:00,2088.0,2090.0,2082.5,2090.0,62159
12,2022-07-25 12:15:00,2090.0,2101.15,2090.0,2097.0,65725
13,2022-07-25 12:30:00,2097.0,2119.75,2092.5,2119.6,70938
14,2022-07-25 12:45:00,2119.6,2122.05,2106.0,2110.3,96867
15,2022-07-25 13:00:00,2110.3,2118.55,2108.5,2115.6,104446
16,2022-07-25 13:15:00,2115.6,2124.95,2111.95,2113.6,115525
17,2022-07-25 13:30:00,2113.7,2114.95,2110.45,2110.95,120518
18,2022-07-25 13:45:00,2110.95,2116.35,2105.0,2108.0,123413
19,2022-07-25 14:00:00,2108.0,2112.85,2098.0,2101.5,129318
20,2022-07-25 14:15:00,2101.5,2106.0,2101.5,2104.6,139326
21,2022-07-25 14:30:00,2104.6,2115.95,2104.6,2109.8,164911
22,2022-07-25 14:45:00,2109.8,2113.8,2098.15,2107.0,172482
23,2022-07-25 15:00:00,2107.0,2108.15,2100.05,2103.55,176312
24,2022-07-25 15:15:00,2103.6,2103.9,2092.75,2099.95,184400
25,2022-07-25 15:30:00,2093.5,2098.0,2093.5,2098.0,189569
