,Date,o,h,l,c,v
0,2022-07-11 09:15:00,361.1,362.5,357.65,357.65,41472
1,2022-07-11 09:30:00,357.95,359.5,355.7,359.15,65250
2,2022-07-11 09:45:00,359.1,360.0,357.5,358.8,85489
3,2022-07-11 10:00:00,358.6,359.3,357.85,359.3,97309
4,2022-07-11 10:15:00,359.3,359.8,358.45,359.2,100726
5,2022-07-11 10:30:00,359.4,359.9,357.8,358.55,108826
6,2022-07-11 10:45:00,358.55,361.8,358.0,360.65,121420
7,2022-07-11 11:00:00,360.95,360.95,359.2,360.45,127361
8,2022-07-11 11:15:00,360.45,362.0,360.2,360.25,137765
9,2022-07-11 11:30:00,360.0,360.7,359.75,359.95,141361
10,2022-07-11 11:45:00,359.95,360.85,359.6,360.2,143850
11,2022-07-11 12:00:00,360.2,361.2,360.2,360.8,145534
12,2022-07-11 12:15:00,360.8,361.1,360.0,360.85,149995
13,2022-07-11 12:30:00,360.85,361.0,360.5,360.9,151029
14,2022-07-11 12:45:00,360.9,361.5,360.75,361.5,152695
15,2022-07-11 13:00:00,361.5,362.3,360.75,362.1,158995
16,2022-07-11 13:15:00,362.1,362.25,361.2,361.3,161405
17,2022-07-11 13:30:00,361.3,362.4,360.85,362.05,164845
18,2022-07-11 13:45:00,362.05,362.3,361.45,361.75,170413
19,2022-07-11 14:00:00,361.75,362.0,359.6,359.75,188549
20,2022-07-11 14:15:00,359.7,360.3,358.8,360.3,205287
21,2022-07-11 14:30:00,360.3,361.25,359.55,359.7,212362
22,2022-07-11 14:45:00,359.7,360.3,358.95,359.75,221705
23,2022-07-11 15:00:00,359.55,360.0,358.1,358.5,231259
24,2022-07-11 15:15:00,357.5,358.3,357.1,358.0,258404
25,2022-07-11 15:30:00,358.0,358.05,358.0,358.05,259270
26,2022-07-12 09:15:00,355.75,360.65,354.05,360.5,15366
27,2022-07-12 09:30:00,360.5,360.6,359.3,360.15,31808
28,2022-07-12 09:45:00,360.15,361.55,359.9,361.55,40068
29,2022-07-12 10:00:00,361.55,361.85,360.25,360.45,52409
30,2022-07-12 10:15:00,360.5,360.5,360.0,360.25,59183
31,2022-07-12 10:30:00,360.4,361.0,359.9,360.5,63074
32,2022-07-12 10:45:00,360.5,361.0,360.3,360.55,66579
