,Date,o,h,l,c,v
0,2022-07-11 09:15:00,485.0,488.95,482.25,482.65,69673
1,2022-07-11 09:30:00,483.0,485.9,482.3,485.85,98258
2,2022-07-11 09:45:00,485.85,486.0,484.85,485.55,113260
3,2022-07-11 10:00:00,485.75,486.5,484.9,485.6,137235
4,2022-07-11 10:15:00,485.6,487.5,484.4,487.5,172265
5,2022-07-11 10:30:00,487.5,489.15,487.15,489.05,192621
6,2022-07-11 10:45:00,489.05,490.55,488.7,489.05,232973
7,2022-07-11 11:00:00,489.05,493.15,488.85,492.45,263705
8,2022-07-11 11:15:00,492.45,492.45,486.65,487.0,302058
9,2022-07-11 11:30:00,486.6,489.5,485.2,485.7,331588
10,2022-07-11 11:45:00,485.55,486.85,485.5,486.0,340371
11,2022-07-11 12:00:00,486.2,487.9,485.8,486.7,356323
12,2022-07-11 12:15:00,486.7,487.6,486.55,487.15,363126
13,2022-07-11 12:30:00,487.1,487.15,486.4,486.7,370811
14,2022-07-11 12:45:00,486.7,488.0,486.55,487.05,378831
15,2022-07-11 13:00:00,487.05,488.5,486.3,488.1,393801
16,2022-07-11 13:15:00,488.1,489.8,487.75,489.65,407056
17,2022-07-11 13:30:00,489.6,491.4,489.35,491.1,424647
18,2022-07-11 13:45:00,491.1,491.9,490.2,490.3,447479
19,2022-07-11 14:00:00,490.6,491.5,488.95,490.3,479522
20,2022-07-11 14:15:00,490.3,491.45,490.0,491.25,492312
21,2022-07-11 14:30:00,491.3,491.45,490.0,490.35,502189
22,2022-07-11 14:45:00,490.25,491.5,489.65,491.1,525782
23,2022-07-11 15:00:00,491.0,492.55,490.7,492.25,568051
24,2022-07-11 15:15:00,492.1,492.45,490.15,491.7,612103
25,2022-07-11 15:30:00,491.75,491.75,491.75,491.75,612103
26,2022-07-12 09:15:00,491.65,491.65,484.05,487.9,38419
27,2022-07-12 09:30:00,487.9,492.1,487.85,489.45,74699
28,2022-07-12 09:45:00,489.45,490.7,489.0,490.5,92935
29,2022-07-12 10:00:00,490.5,491.3,489.6,490.05,107395
30,2022-07-12 10:15:00,490.05,490.65,489.65,490.05,122232
31,2022-07-12 10:30:00,490.05,490.15,489.5,489.75,127781
32,2022-07-12 10:45:00,489.75,490.3,489.0,490.05,145552
