,Date,o,h,l,c,v
0,2022-07-25 09:15:00,376.5,379.2,375.5,376.65,92640
1,2022-07-25 09:30:00,376.65,377.0,375.05,376.0,175831
2,2022-07-25 09:45:00,376.0,376.3,374.05,375.1,228137
3,2022-07-25 10:00:00,375.1,375.2,372.1,372.8,357218
4,2022-07-25 10:15:00,373.05,373.75,371.5,372.95,522372
5,2022-07-25 10:30:00,372.95,373.0,372.0,372.15,593992
6,2022-07-25 10:45:00,372.15,372.8,371.9,372.45,640438
7,2022-07-25 11:00:00,372.45,372.65,370.8,370.8,692428
8,2022-07-25 11:15:00,370.8,371.85,370.1,371.4,790892
9,2022-07-25 11:30:00,371.4,372.45,370.7,370.85,836931
10,2022-07-25 11:45:00,370.85,371.7,370.6,371.0,895637
11,2022-07-25 12:00:00,371.0,371.0,370.35,370.5,920456
12,2022-07-25 12:15:00,370.5,371.0,370.25,370.8,933483
13,2022-07-25 12:30:00,370.75,371.05,369.55,370.3,999999
14,2022-07-25 12:45:00,370.2,370.9,370.0,370.45,1070755
15,2022-07-25 13:00:00,370.45,370.8,369.1,370.4,1104585
16,2022-07-25 13:15:00,370.4,370.85,369.85,370.5,1131274
17,2022-07-25 13:30:00,370.5,370.85,370.0,370.0,1156464
18,2022-07-25 13:45:00,370.0,370.75,369.85,370.25,1173325
19,2022-07-25 14:00:00,370.25,371.95,370.1,371.65,1214200
20,2022-07-25 14:15:00,371.65,372.4,371.2,371.6,1342120
21,2022-07-25 14:30:00,371.6,372.85,371.25,372.65,1447103
22,2022-07-25 14:45:00,372.65,373.0,372.0,372.25,1503666
23,2022-07-25 15:00:00,372.0,372.0,370.55,370.75,1581135
24,2022-07-25 15:15:00,370.9,371.25,369.15,369.5,1678201
25,2022-07-25 15:30:00,369.5,370.8,369.5,370.8,1717695
