,Date,o,h,l,c,v
0,2022-07-25 09:15:00,3562.05,3635.0,3556.0,3611.65,3704
1,2022-07-25 09:30:00,3618.25,3720.35,3600.0,3700.0,16671
2,2022-07-25 09:45:00,3693.85,3708.55,3673.25,3694.2,37153
3,2022-07-25 10:00:00,3694.2,3705.0,3669.0,3675.0,46472
4,2022-07-25 10:15:00,3671.5,3674.05,3653.0,3658.5,52098
5,2022-07-25 10:30:00,3659.1,3661.35,3651.0,3654.95,54694
6,2022-07-25 10:45:00,3654.95,3679.95,3646.25,3672.65,59136
7,2022-07-25 11:00:00,3672.65,3680.0,3652.0,3654.95,61101
8,2022-07-25 11:15:00,3652.05,3670.0,3648.7,3653.0,63170
9,2022-07-25 11:30:00,3654.95,3654.95,3641.0,3646.0,65455
10,2022-07-25 11:45:00,3646.0,3673.95,3646.0,3673.95,66690
11,2022-07-25 12:00:00,3671.75,3673.9,3648.7,3659.95,68580
12,2022-07-25 12:15:00,3659.95,3665.95,3651.5,3656.1,69898
13,2022-07-25 12:30:00,3656.1,3695.0,3654.5,3683.3,73898
14,2022-07-25 12:45:00,3683.3,3688.7,3668.45,3678.0,81459
15,2022-07-25 13:00:00,3675.15,3690.5,3674.55,3685.0,83287
16,2022-07-25 13:15:00,3685.0,3685.0,3673.65,3678.0,84475
17,2022-07-25 13:30:00,3678.0,3705.0,3657.5,3662.2,90965
18,2022-07-25 13:45:00,3662.2,3666.6,3652.05,3662.0,96582
19,2022-07-25 14:00:00,3662.0,3667.15,3653.65,3661.35,98284
20,2022-07-25 14:15:00,3661.35,3667.0,3655.0,3656.25,99311
21,2022-07-25 14:30:00,3656.25,3669.1,3656.25,3662.8,100316
22,2022-07-25 14:45:00,3662.8,3669.95,3662.0,3667.0,101285
23,2022-07-25 15:00:00,3667.0,3670.0,3662.05,3665.9,104390
24,2022-07-25 15:15:00,3665.95,3715.0,3662.85,3714.0,112403
25,2022-07-25 15:30:00,3715.0,3715.0,3679.7,3679.7,118515
