,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1889.95,1894.7,1871.55,1871.55,2631
1,2022-07-11 09:30:00,1875.0,1884.45,1869.95,1884.45,4236
2,2022-07-11 09:45:00,1884.45,1888.75,1882.6,1885.75,5431
3,2022-07-11 10:00:00,1885.75,1894.7,1884.9,1892.55,6397
4,2022-07-11 10:15:00,1892.55,1892.55,1884.3,1888.55,6849
5,2022-07-11 10:30:00,1888.55,1892.1,1888.2,1891.05,7571
6,2022-07-11 10:45:00,1891.05,1895.0,1891.05,1892.5,9015
7,2022-07-11 11:00:00,1892.15,1893.45,1888.9,1888.9,9444
8,2022-07-11 11:15:00,1888.9,1890.8,1883.65,1886.75,10697
9,2022-07-11 11:30:00,1886.75,1886.75,1882.0,1882.0,10949
10,2022-07-11 11:45:00,1882.0,1883.7,1869.9,1876.6,13739
11,2022-07-11 12:00:00,1876.6,1879.7,1873.25,1876.0,14351
12,2022-07-11 12:15:00,1876.0,1878.45,1871.0,1872.9,14888
13,2022-07-11 12:30:00,1872.9,1873.0,1860.05,1866.9,17033
14,2022-07-11 12:45:00,1866.9,1869.3,1863.55,1869.0,17547
15,2022-07-11 13:00:00,1869.0,1872.8,1868.95,1870.3,18147
16,2022-07-11 13:15:00,1870.05,1872.15,1867.0,1867.0,18429
17,2022-07-11 13:30:00,1867.0,1880.0,1867.0,1879.0,19197
18,2022-07-11 13:45:00,1881.95,1882.0,1874.25,1878.4,19452
19,2022-07-11 14:00:00,1878.0,1878.0,1868.0,1868.8,20029
20,2022-07-11 14:15:00,1868.8,1871.05,1867.25,1868.9,20683
21,2022-07-11 14:30:00,1868.9,1871.15,1857.1,1864.8,22791
22,2022-07-11 14:45:00,1864.8,1869.0,1860.6,1868.7,23713
23,2022-07-11 15:00:00,1868.7,1868.7,1860.35,1863.05,24760
24,2022-07-11 15:15:00,1863.05,1865.3,1855.05,1862.0,27804
25,2022-07-11 15:30:00,1860.85,1860.85,1860.85,1860.85,27818
26,2022-07-12 09:15:00,1863.15,1874.0,1852.0,1870.2,1062
27,2022-07-12 09:30:00,1871.45,1876.0,1870.15,1875.0,2234
28,2022-07-12 09:45:00,1873.35,1876.0,1870.6,1872.4,3556
29,2022-07-12 10:00:00,1872.4,1872.8,1865.0,1868.1,4899
30,2022-07-12 10:15:00,1870.0,1871.7,1868.65,1869.8,5213
31,2022-07-12 10:30:00,1869.8,1874.1,1868.1,1869.95,5481
32,2022-07-12 10:45:00,1869.95,1870.0,1869.0,1870.0,5829
