,Date,o,h,l,c,v
0,2022-07-25 09:15:00,324.5,324.5,317.55,317.55,142601
1,2022-07-25 09:30:00,317.8,318.25,315.15,316.7,328894
2,2022-07-25 09:45:00,316.8,317.3,314.35,315.5,422715
3,2022-07-25 10:00:00,315.45,315.8,314.4,315.65,530122
4,2022-07-25 10:15:00,315.7,318.15,315.35,317.35,606921
5,2022-07-25 10:30:00,317.0,318.8,317.0,318.0,659370
6,2022-07-25 10:45:00,318.15,318.15,316.5,316.55,700780
7,2022-07-25 11:00:00,316.65,316.65,314.6,314.85,754434
8,2022-07-25 11:15:00,315.0,315.95,314.65,315.45,809290
9,2022-07-25 11:30:00,315.45,315.95,315.05,315.75,842199
10,2022-07-25 11:45:00,315.65,317.35,315.65,316.85,880694
11,2022-07-25 12:00:00,316.85,317.4,316.2,316.75,914119
12,2022-07-25 12:15:00,316.9,317.05,316.25,316.85,932172
13,2022-07-25 12:30:00,316.85,317.0,316.55,316.55,942341
14,2022-07-25 12:45:00,316.55,317.45,316.55,317.4,959314
15,2022-07-25 13:00:00,317.45,317.95,317.1,317.9,982581
16,2022-07-25 13:15:00,317.9,317.95,316.6,317.2,1000669
17,2022-07-25 13:30:00,317.1,317.8,316.8,317.1,1020973
18,2022-07-25 13:45:00,317.1,317.6,316.5,317.25,1037604
19,2022-07-25 14:00:00,317.25,317.8,317.05,317.15,1055963
20,2022-07-25 14:15:00,317.15,318.35,317.1,318.3,1078095
21,2022-07-25 14:30:00,318.5,319.65,317.2,318.25,1170189
22,2022-07-25 14:45:00,318.0,318.75,318.0,318.25,1210551
23,2022-07-25 15:00:00,318.15,318.15,315.0,315.15,1294009
24,2022-07-25 15:15:00,315.05,315.95,314.0,314.8,1458167
25,2022-07-25 15:30:00,314.65,315.25,314.65,315.25,1528006
