,Date,o,h,l,c,v
0,2022-07-25 09:15:00,17.2,17.2,17.05,17.15,92188
1,2022-07-25 09:30:00,17.15,17.15,17.05,17.05,232954
2,2022-07-25 09:45:00,17.05,17.1,16.95,17.0,301707
3,2022-07-25 10:00:00,16.95,17.0,16.85,16.9,433348
4,2022-07-25 10:15:00,16.95,16.95,16.9,16.95,483734
5,2022-07-25 10:30:00,16.95,16.95,16.9,16.95,509639
6,2022-07-25 10:45:00,16.95,16.95,16.8,16.85,604016
7,2022-07-25 11:00:00,16.85,16.85,16.7,16.75,726839
8,2022-07-25 11:15:00,16.75,16.75,16.65,16.75,939812
9,2022-07-25 11:30:00,16.75,16.75,16.65,16.7,986648
10,2022-07-25 11:45:00,16.7,16.7,16.65,16.7,1019495
11,2022-07-25 12:00:00,16.65,16.75,16.65,16.75,1093858
12,2022-07-25 12:15:00,16.75,16.75,16.7,16.7,1111724
13,2022-07-25 12:30:00,16.75,16.75,16.7,16.75,1122035
14,2022-07-25 12:45:00,16.75,16.75,16.7,16.75,1143482
15,2022-07-25 13:00:00,16.75,16.75,16.65,16.7,1234389
16,2022-07-25 13:15:00,16.7,16.75,16.65,16.75,1368147
17,2022-07-25 13:30:00,16.75,16.75,16.65,16.7,1396951
18,2022-07-25 13:45:00,16.7,16.7,16.65,16.7,1422331
19,2022-07-25 14:00:00,16.65,16.75,16.65,16.75,1451824
20,2022-07-25 14:15:00,16.75,16.75,16.7,16.75,1493812
21,2022-07-25 14:30:00,16.75,16.75,16.7,16.7,1552937
22,2022-07-25 14:45:00,16.7,16.75,16.7,16.75,1589140
23,2022-07-25 15:00:00,16.75,16.75,16.65,16.7,1654418
24,2022-07-25 15:15:00,16.65,16.7,16.65,16.7,1801689
25,2022-07-25 15:30:00,16.7,16.7,16.7,16.7,1910804
