,Date,o,h,l,c,v
0,2022-07-11 09:15:00,503.75,505.55,497.95,500.85,2068
1,2022-07-11 09:30:00,500.85,503.75,498.45,498.45,4264
2,2022-07-11 09:45:00,498.45,500.95,498.45,499.75,5905
3,2022-07-11 10:00:00,499.75,500.95,499.15,499.85,6875
4,2022-07-11 10:15:00,499.85,500.35,498.95,500.0,7351
5,2022-07-11 10:30:00,500.0,500.0,495.4,496.5,8452
6,2022-07-11 10:45:00,497.0,497.15,495.85,495.95,8646
7,2022-07-11 11:00:00,495.95,498.15,495.95,498.15,8708
8,2022-07-11 11:15:00,498.15,498.15,496.6,496.6,9091
9,2022-07-11 11:30:00,496.6,496.6,495.55,495.55,9875
10,2022-07-11 11:45:00,495.55,496.25,494.55,495.8,10593
11,2022-07-11 12:00:00,495.1,497.5,494.75,497.5,10708
12,2022-07-11 12:15:00,498.15,498.15,497.5,497.5,10766
13,2022-07-11 12:30:00,497.9,499.1,496.95,496.95,11350
14,2022-07-11 12:45:00,496.95,498.15,496.9,497.95,11660
15,2022-07-11 13:00:00,497.95,497.95,496.85,497.45,11779
16,2022-07-11 13:15:00,497.45,498.85,496.85,498.85,12510
17,2022-07-11 13:30:00,498.85,499.9,498.2,498.2,12794
18,2022-07-11 13:45:00,498.2,499.5,498.2,499.4,12977
19,2022-07-11 14:00:00,499.4,499.4,499.05,499.35,13183
20,2022-07-11 14:15:00,499.35,499.35,498.3,499.25,13589
21,2022-07-11 14:30:00,499.25,499.25,497.05,497.25,14122
22,2022-07-11 14:45:00,497.25,498.65,496.8,497.3,14413
23,2022-07-11 15:00:00,497.9,498.0,495.0,496.6,15512
24,2022-07-11 15:15:00,496.6,498.3,494.55,496.0,17517
25,2022-07-11 15:30:00,496.15,496.15,496.15,496.15,17517
26,2022-07-12 09:15:00,498.75,500.5,497.9,497.9,732
27,2022-07-12 09:30:00,497.9,497.9,494.6,494.6,1292
28,2022-07-12 09:45:00,494.6,495.65,493.35,493.35,2061
29,2022-07-12 10:00:00,493.35,494.65,491.0,493.3,3744
30,2022-07-12 10:15:00,493.3,493.9,492.0,492.0,4501
31,2022-07-12 10:30:00,492.0,493.9,492.0,493.9,4963
32,2022-07-12 10:45:00,493.9,493.9,493.1,493.25,5542
