,Date,o,h,l,c,v
0,2022-07-25 09:15:00,531.2,531.2,525.75,526.5,56088
1,2022-07-25 09:30:00,526.8,528.6,525.6,526.65,98595
2,2022-07-25 09:45:00,526.7,528.35,526.0,528.0,127165
3,2022-07-25 10:00:00,527.95,528.1,526.05,528.1,154602
4,2022-07-25 10:15:00,528.1,528.1,526.95,527.5,182003
5,2022-07-25 10:30:00,527.5,528.85,527.35,528.55,202353
6,2022-07-25 10:45:00,528.5,529.5,527.45,528.65,221929
7,2022-07-25 11:00:00,528.65,528.85,526.5,527.35,235790
8,2022-07-25 11:15:00,527.35,528.3,526.55,527.0,253069
9,2022-07-25 11:30:00,526.7,527.6,526.25,527.25,272802
10,2022-07-25 11:45:00,527.25,527.4,526.35,527.0,291880
11,2022-07-25 12:00:00,527.05,527.7,524.6,525.0,325907
12,2022-07-25 12:15:00,525.0,525.5,523.75,523.75,363452
13,2022-07-25 12:30:00,523.7,523.8,522.25,522.5,411500
14,2022-07-25 12:45:00,522.5,522.7,521.5,522.0,469836
15,2022-07-25 13:00:00,522.0,523.15,521.3,523.0,532369
16,2022-07-25 13:15:00,522.9,523.2,522.4,523.0,580142
17,2022-07-25 13:30:00,523.05,523.75,522.3,523.25,619296
18,2022-07-25 13:45:00,523.15,523.3,522.1,522.3,663482
19,2022-07-25 14:00:00,522.2,522.9,521.2,521.25,720604
20,2022-07-25 14:15:00,521.25,521.9,520.3,520.6,795723
21,2022-07-25 14:30:00,520.7,522.9,520.5,522.6,860800
22,2022-07-25 14:45:00,522.6,524.35,522.15,523.05,899163
23,2022-07-25 15:00:00,523.05,523.05,521.45,521.7,955129
24,2022-07-25 15:15:00,521.55,522.2,520.5,521.0,1042807
25,2022-07-25 15:30:00,521.0,521.85,521.0,521.85,1087235
