,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2124.9,2124.9,2046.75,2046.75,18500
1,2022-07-11 09:30:00,2044.4,2054.45,2025.05,2051.95,27679
2,2022-07-11 09:45:00,2051.95,2051.95,2034.95,2037.5,33702
3,2022-07-11 10:00:00,2039.55,2040.0,2028.0,2038.55,41328
4,2022-07-11 10:15:00,2038.55,2060.0,2036.25,2054.4,49527
5,2022-07-11 10:30:00,2054.4,2079.0,2053.0,2076.4,55959
6,2022-07-11 10:45:00,2076.4,2094.55,2067.2,2075.2,63711
7,2022-07-11 11:00:00,2075.2,2124.5,2075.2,2119.95,72768
8,2022-07-11 11:15:00,2119.95,2122.45,2108.0,2108.1,75823
9,2022-07-11 11:30:00,2109.0,2122.9,2108.1,2118.65,78863
10,2022-07-11 11:45:00,2120.0,2134.4,2117.05,2125.65,81619
11,2022-07-11 12:00:00,2125.65,2125.65,2120.05,2121.8,82267
12,2022-07-11 12:15:00,2121.8,2123.0,2120.0,2121.05,82697
13,2022-07-11 12:30:00,2121.05,2124.95,2120.0,2123.4,83125
14,2022-07-11 12:45:00,2123.4,2125.3,2120.0,2124.45,83543
15,2022-07-11 13:00:00,2124.45,2125.0,2121.8,2121.85,83694
16,2022-07-11 13:15:00,2123.75,2131.85,2116.85,2120.0,85059
17,2022-07-11 13:30:00,2120.0,2131.1,2120.0,2129.5,86164
18,2022-07-11 13:45:00,2129.85,2138.95,2127.5,2134.85,88637
19,2022-07-11 14:00:00,2134.85,2134.85,2109.8,2120.95,104265
20,2022-07-11 14:15:00,2120.95,2120.95,2109.0,2112.9,107311
21,2022-07-11 14:30:00,2113.0,2114.2,2100.0,2106.5,110334
22,2022-07-11 14:45:00,2107.55,2113.25,2102.6,2112.75,112853
23,2022-07-11 15:00:00,2112.75,2115.0,2100.15,2110.0,115643
24,2022-07-11 15:15:00,2107.55,2110.35,2091.05,2100.0,121116
25,2022-07-11 15:30:00,2103.3,2103.3,2103.3,2103.3,121118
26,2022-07-12 09:15:00,2097.95,2099.8,2066.4,2097.2,3933
27,2022-07-12 09:30:00,2099.0,2110.5,2099.0,2102.7,8055
28,2022-07-12 09:45:00,2102.7,2103.5,2100.85,2102.35,9412
29,2022-07-12 10:00:00,2100.0,2102.1,2097.05,2099.0,10482
30,2022-07-12 10:15:00,2099.0,2099.35,2095.0,2098.1,11742
31,2022-07-12 10:30:00,2098.1,2098.95,2095.0,2098.65,12733
32,2022-07-12 10:45:00,2098.65,2100.5,2095.0,2097.0,14291
