,Date,o,h,l,c,v
0,2022-07-25 09:15:00,358.45,360.3,357.7,358.55,25333
1,2022-07-25 09:30:00,358.4,360.0,357.25,359.6,45121
2,2022-07-25 09:45:00,359.7,359.7,358.85,359.55,60377
3,2022-07-25 10:00:00,359.55,360.05,359.0,359.75,74167
4,2022-07-25 10:15:00,359.65,360.0,359.05,359.55,82483
5,2022-07-25 10:30:00,359.55,359.8,359.0,359.25,89139
6,2022-07-25 10:45:00,359.25,360.5,359.1,360.0,113307
7,2022-07-25 11:00:00,360.0,360.65,359.15,359.75,127004
8,2022-07-25 11:15:00,359.75,360.0,359.15,359.2,136887
9,2022-07-25 11:30:00,359.15,360.95,359.0,360.5,149492
10,2022-07-25 11:45:00,360.5,360.75,360.15,360.35,158646
11,2022-07-25 12:00:00,360.35,360.35,359.35,359.6,166419
12,2022-07-25 12:15:00,359.6,359.95,359.1,359.6,172255
13,2022-07-25 12:30:00,359.6,359.65,359.25,359.45,174937
14,2022-07-25 12:45:00,359.45,359.9,359.0,359.6,177615
15,2022-07-25 13:00:00,359.6,359.7,359.1,359.7,182668
16,2022-07-25 13:15:00,359.7,359.95,359.4,359.85,190986
17,2022-07-25 13:30:00,359.85,359.85,359.05,359.8,200046
18,2022-07-25 13:45:00,359.8,360.0,359.1,359.45,205907
19,2022-07-25 14:00:00,359.45,359.9,359.2,359.5,210036
20,2022-07-25 14:15:00,359.5,363.55,359.5,363.1,220124
21,2022-07-25 14:30:00,363.1,363.1,360.95,361.15,247658
22,2022-07-25 14:45:00,361.15,362.55,360.85,362.0,256196
23,2022-07-25 15:00:00,362.0,362.5,361.15,361.75,264728
24,2022-07-25 15:15:00,361.75,362.4,359.45,361.5,279639
25,2022-07-25 15:30:00,361.5,361.6,361.5,361.6,288513
