,Date,o,h,l,c,v
0,2022-07-11 09:15:00,262.25,263.65,261.05,261.05,12096
1,2022-07-11 09:30:00,261.05,262.0,260.3,261.85,19903
2,2022-07-11 09:45:00,261.85,262.0,261.4,262.0,22899
3,2022-07-11 10:00:00,262.0,264.4,261.3,264.0,33061
4,2022-07-11 10:15:00,264.0,264.8,263.45,264.5,36135
5,2022-07-11 10:30:00,264.5,265.9,263.9,265.9,49279
6,2022-07-11 10:45:00,265.9,267.4,265.1,265.25,57005
7,2022-07-11 11:00:00,265.25,265.25,263.95,264.75,59885
8,2022-07-11 11:15:00,264.75,264.85,263.45,263.5,60469
9,2022-07-11 11:30:00,263.5,263.5,262.3,263.25,62619
10,2022-07-11 11:45:00,263.25,263.65,262.4,263.55,65765
11,2022-07-11 12:00:00,263.55,264.3,262.85,262.85,69640
12,2022-07-11 12:15:00,262.85,263.25,262.75,262.8,71372
13,2022-07-11 12:30:00,262.8,263.9,262.8,263.0,81007
14,2022-07-11 12:45:00,263.0,263.85,263.0,263.65,81761
15,2022-07-11 13:00:00,263.65,264.8,263.65,264.15,83521
16,2022-07-11 13:15:00,264.15,264.6,263.95,264.45,85551
17,2022-07-11 13:30:00,264.45,264.7,263.75,263.75,90396
18,2022-07-11 13:45:00,263.75,264.1,263.3,264.1,91844
19,2022-07-11 14:00:00,264.1,264.2,262.85,263.2,94195
20,2022-07-11 14:15:00,263.2,263.55,262.9,263.4,94639
21,2022-07-11 14:30:00,263.4,263.45,263.0,263.3,96127
22,2022-07-11 14:45:00,263.3,263.5,262.7,263.5,97822
23,2022-07-11 15:00:00,263.5,264.05,263.3,263.9,101537
24,2022-07-11 15:15:00,263.9,263.9,262.0,263.3,114981
25,2022-07-11 15:30:00,263.1,263.1,263.1,263.1,115431
26,2022-07-12 09:15:00,261.05,263.7,260.45,263.55,3022
27,2022-07-12 09:30:00,263.55,264.7,263.55,264.0,9717
28,2022-07-12 09:45:00,264.0,264.25,262.9,263.5,13151
29,2022-07-12 10:00:00,263.5,263.6,262.85,263.1,17033
30,2022-07-12 10:15:00,263.1,263.45,262.8,263.3,18887
31,2022-07-12 10:30:00,263.4,263.45,262.1,262.5,21213
32,2022-07-12 10:45:00,262.5,262.9,262.1,262.9,23516
