,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1300.0,1310.0,1296.55,1300.8,19439
1,2022-07-11 09:30:00,1298.45,1300.0,1295.0,1299.95,28122
2,2022-07-11 09:45:00,1300.0,1305.0,1299.25,1303.0,38332
3,2022-07-11 10:00:00,1303.0,1308.8,1303.0,1308.1,44619
4,2022-07-11 10:15:00,1308.1,1308.1,1304.1,1306.85,49523
5,2022-07-11 10:30:00,1306.85,1308.45,1305.6,1306.7,52837
6,2022-07-11 10:45:00,1306.4,1311.0,1305.3,1309.35,58081
7,2022-07-11 11:00:00,1309.3,1310.55,1308.7,1308.75,60177
8,2022-07-11 11:15:00,1308.75,1309.15,1306.65,1306.95,63445
9,2022-07-11 11:30:00,1307.5,1308.0,1305.95,1305.95,66172
10,2022-07-11 11:45:00,1305.95,1308.6,1303.75,1308.25,68486
11,2022-07-11 12:00:00,1308.25,1310.95,1307.55,1309.0,74164
12,2022-07-11 12:15:00,1309.0,1309.05,1307.95,1308.0,75514
13,2022-07-11 12:30:00,1308.0,1308.2,1305.2,1305.8,77206
14,2022-07-11 12:45:00,1305.8,1308.35,1305.8,1307.9,78778
15,2022-07-11 13:00:00,1307.9,1312.85,1307.85,1309.0,83877
16,2022-07-11 13:15:00,1309.0,1311.55,1307.95,1308.25,86048
17,2022-07-11 13:30:00,1308.25,1311.0,1308.25,1310.85,87231
18,2022-07-11 13:45:00,1310.25,1312.35,1310.05,1310.5,89141
19,2022-07-11 14:00:00,1310.5,1314.85,1310.45,1312.5,93003
20,2022-07-11 14:15:00,1312.5,1314.4,1312.1,1312.35,95830
21,2022-07-11 14:30:00,1313.35,1317.0,1312.55,1314.45,106984
22,2022-07-11 14:45:00,1314.45,1316.05,1310.0,1310.0,113440
23,2022-07-11 15:00:00,1309.9,1313.75,1308.95,1311.45,122099
24,2022-07-11 15:15:00,1311.45,1315.4,1311.1,1313.5,136253
25,2022-07-11 15:30:00,1312.65,1312.65,1312.65,1312.65,136253
26,2022-07-12 09:15:00,1309.0,1309.95,1304.05,1307.65,5489
27,2022-07-12 09:30:00,1307.65,1316.75,1307.5,1315.0,12420
28,2022-07-12 09:45:00,1315.0,1325.0,1315.0,1322.5,32106
29,2022-07-12 10:00:00,1320.95,1322.15,1317.8,1319.55,47033
30,2022-07-12 10:15:00,1319.55,1323.1,1318.5,1322.8,50274
31,2022-07-12 10:30:00,1322.8,1323.65,1320.1,1322.3,53201
32,2022-07-12 10:45:00,1322.3,1322.8,1321.1,1321.6,55188
