,Date,o,h,l,c,v
0,2022-07-11 09:15:00,582.85,582.85,577.25,579.0,4419
1,2022-07-11 09:30:00,579.0,586.0,578.8,585.0,7851
2,2022-07-11 09:45:00,585.0,586.4,584.4,585.95,9285
3,2022-07-11 10:00:00,585.95,588.4,585.35,588.0,11807
4,2022-07-11 10:15:00,588.0,589.15,586.1,588.4,13989
5,2022-07-11 10:30:00,588.6,588.9,587.15,588.9,14289
6,2022-07-11 10:45:00,588.9,589.95,588.2,589.5,15186
7,2022-07-11 11:00:00,588.9,589.45,588.3,589.0,15358
8,2022-07-11 11:15:00,588.4,589.0,585.7,586.05,17456
9,2022-07-11 11:30:00,586.05,587.9,585.2,586.3,19040
10,2022-07-11 11:45:00,586.3,586.7,585.0,586.35,20613
11,2022-07-11 12:00:00,586.35,587.15,586.05,587.0,22125
12,2022-07-11 12:15:00,587.0,587.0,584.95,585.0,22573
13,2022-07-11 12:30:00,585.0,586.45,585.0,585.65,22762
14,2022-07-11 12:45:00,585.65,586.9,585.3,586.4,22829
15,2022-07-11 13:00:00,586.4,587.2,585.95,587.2,23114
16,2022-07-11 13:15:00,587.15,587.15,585.7,585.85,23477
17,2022-07-11 13:30:00,585.85,587.0,585.65,586.05,23730
18,2022-07-11 13:45:00,586.05,586.05,585.6,585.6,23809
19,2022-07-11 14:00:00,585.6,586.95,584.45,585.25,25538
20,2022-07-11 14:15:00,584.9,584.9,582.7,583.0,26760
21,2022-07-11 14:30:00,583.0,584.05,583.0,583.6,27375
22,2022-07-11 14:45:00,583.6,585.35,583.6,584.9,28025
23,2022-07-11 15:00:00,584.9,585.0,583.6,584.2,29962
24,2022-07-11 15:15:00,584.2,585.5,580.65,581.15,33279
25,2022-07-11 15:30:00,583.1,583.1,583.1,583.1,33279
26,2022-07-12 09:15:00,581.15,584.65,578.55,582.75,2112
27,2022-07-12 09:30:00,582.75,583.35,581.25,581.9,3985
28,2022-07-12 09:45:00,581.9,582.15,580.55,581.1,5586
29,2022-07-12 10:00:00,581.1,596.15,580.85,596.05,169566
30,2022-07-12 10:15:00,596.75,597.15,588.8,594.6,229359
31,2022-07-12 10:30:00,594.6,594.6,589.1,591.1,284135
32,2022-07-12 10:45:00,591.1,593.0,589.5,589.5,294071
