,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1440.0,1448.5,1429.65,1430.35,13885
1,2022-07-11 09:30:00,1430.75,1436.9,1424.45,1435.6,20224
2,2022-07-11 09:45:00,1435.6,1441.4,1432.05,1437.8,23692
3,2022-07-11 10:00:00,1437.8,1447.35,1435.75,1447.0,28490
4,2022-07-11 10:15:00,1447.0,1453.35,1445.15,1452.55,36927
5,2022-07-11 10:30:00,1452.55,1462.5,1447.6,1460.15,60711
6,2022-07-11 10:45:00,1460.15,1463.75,1444.4,1445.4,74558
7,2022-07-11 11:00:00,1445.4,1448.0,1442.25,1446.15,80322
8,2022-07-11 11:15:00,1446.15,1450.95,1444.75,1447.0,88207
9,2022-07-11 11:30:00,1447.05,1448.25,1444.0,1445.8,115789
10,2022-07-11 11:45:00,1445.8,1446.45,1442.85,1444.75,124620
11,2022-07-11 12:00:00,1444.75,1448.05,1444.75,1445.75,130078
12,2022-07-11 12:15:00,1445.75,1446.0,1444.5,1444.55,131829
13,2022-07-11 12:30:00,1444.55,1445.4,1441.0,1442.1,135488
14,2022-07-11 12:45:00,1442.1,1444.95,1442.1,1444.75,136311
15,2022-07-11 13:00:00,1444.75,1446.45,1442.65,1444.65,138927
16,2022-07-11 13:15:00,1444.75,1446.3,1444.2,1444.4,140736
17,2022-07-11 13:30:00,1444.4,1446.65,1444.4,1445.0,146602
18,2022-07-11 13:45:00,1445.0,1445.65,1442.8,1443.3,149147
19,2022-07-11 14:00:00,1443.3,1446.3,1442.0,1444.0,150844
20,2022-07-11 14:15:00,1444.0,1446.05,1443.1,1443.15,153559
21,2022-07-11 14:30:00,1443.15,1446.5,1443.15,1444.1,156355
22,2022-07-11 14:45:00,1444.1,1449.95,1443.05,1449.85,163908
23,2022-07-11 15:00:00,1449.65,1454.0,1447.75,1450.4,171002
24,2022-07-11 15:15:00,1450.4,1451.0,1444.75,1449.0,188732
25,2022-07-11 15:30:00,1449.0,1449.25,1449.0,1449.25,188732
26,2022-07-12 09:15:00,1448.9,1448.9,1426.15,1440.0,11176
27,2022-07-12 09:30:00,1439.9,1447.35,1436.7,1445.05,23094
28,2022-07-12 09:45:00,1445.05,1451.5,1442.05,1445.4,34126
29,2022-07-12 10:00:00,1445.4,1447.15,1435.0,1437.45,42689
30,2022-07-12 10:15:00,1437.45,1446.0,1433.0,1445.0,56701
31,2022-07-12 10:30:00,1446.0,1446.65,1442.85,1444.4,66987
32,2022-07-12 10:45:00,1444.4,1446.7,1442.8,1445.4,71207
