,Date,o,h,l,c,v
0,2022-07-11 09:15:00,802.25,807.2,801.0,802.25,33131
1,2022-07-11 09:30:00,802.25,802.25,798.0,800.9,42570
2,2022-07-11 09:45:00,800.9,801.2,798.9,799.45,47185
3,2022-07-11 10:00:00,799.45,801.2,797.2,800.4,55836
4,2022-07-11 10:15:00,800.4,801.4,798.65,801.3,60792
5,2022-07-11 10:30:00,801.3,801.9,798.3,799.35,67184
6,2022-07-11 10:45:00,799.35,800.7,797.45,797.55,72224
7,2022-07-11 11:00:00,798.0,798.05,796.0,796.65,77690
8,2022-07-11 11:15:00,796.65,796.8,795.1,795.35,81796
9,2022-07-11 11:30:00,795.35,797.4,793.95,794.65,88766
10,2022-07-11 11:45:00,794.65,796.0,793.85,795.9,90297
11,2022-07-11 12:00:00,795.9,798.7,795.5,797.65,94113
12,2022-07-11 12:15:00,797.4,799.2,797.25,799.2,97803
13,2022-07-11 12:30:00,798.8,799.55,797.0,797.6,102382
14,2022-07-11 12:45:00,797.6,801.6,797.15,800.85,108267
15,2022-07-11 13:00:00,801.3,802.5,799.05,801.0,113898
16,2022-07-11 13:15:00,801.0,802.1,800.4,801.0,115382
17,2022-07-11 13:30:00,801.0,802.85,800.4,800.65,120757
18,2022-07-11 13:45:00,800.9,803.0,800.6,801.8,122604
19,2022-07-11 14:00:00,801.3,804.0,801.3,801.6,125678
20,2022-07-11 14:15:00,801.6,803.15,801.4,803.0,126937
21,2022-07-11 14:30:00,802.5,803.85,801.35,802.25,132336
22,2022-07-11 14:45:00,802.25,805.0,801.65,804.0,137621
23,2022-07-11 15:00:00,804.0,805.0,802.8,803.5,151329
24,2022-07-11 15:15:00,803.0,804.05,800.2,803.55,162560
25,2022-07-11 15:30:00,803.6,803.6,803.6,803.6,162575
26,2022-07-12 09:15:00,797.95,806.0,796.8,805.0,7461
27,2022-07-12 09:30:00,805.3,809.95,803.5,807.8,26000
28,2022-07-12 09:45:00,807.8,807.8,802.4,805.5,49771
29,2022-07-12 10:00:00,805.5,805.75,803.35,803.35,54933
30,2022-07-12 10:15:00,803.35,803.85,799.65,801.0,60884
31,2022-07-12 10:30:00,801.0,802.95,800.4,801.25,67028
32,2022-07-12 10:45:00,801.2,801.8,800.4,801.8,70557
