,Date,o,h,l,c,v
0,2022-07-11 09:15:00,2825.3,2838.4,2776.8,2785.7,150469
1,2022-07-11 09:30:00,2785.75,2791.45,2767.95,2789.0,222573
2,2022-07-11 09:45:00,2789.7,2809.45,2785.1,2799.65,269567
3,2022-07-11 10:00:00,2799.65,2806.0,2795.0,2802.3,285285
4,2022-07-11 10:15:00,2802.3,2817.85,2800.2,2811.3,312348
5,2022-07-11 10:30:00,2811.3,2812.0,2805.0,2809.9,320654
6,2022-07-11 10:45:00,2809.9,2809.9,2797.1,2803.95,334172
7,2022-07-11 11:00:00,2803.95,2813.9,2800.0,2808.15,345849
8,2022-07-11 11:15:00,2809.8,2810.3,2801.1,2801.1,352366
9,2022-07-11 11:30:00,2802.35,2809.0,2797.6,2797.6,361847
10,2022-07-11 11:45:00,2797.6,2806.4,2795.05,2805.0,371174
11,2022-07-11 12:00:00,2806.0,2806.9,2800.55,2800.55,376635
12,2022-07-11 12:15:00,2802.75,2803.6,2796.25,2797.8,382510
13,2022-07-11 12:30:00,2797.8,2799.6,2788.35,2790.75,402699
14,2022-07-11 12:45:00,2791.15,2799.0,2790.0,2793.0,412291
15,2022-07-11 13:00:00,2793.0,2803.8,2790.0,2802.5,421577
16,2022-07-11 13:15:00,2802.5,2807.95,2798.4,2801.05,432580
17,2022-07-11 13:30:00,2802.65,2808.9,2799.85,2804.25,442401
18,2022-07-11 13:45:00,2804.25,2808.0,2801.6,2805.25,450432
19,2022-07-11 14:00:00,2805.25,2811.0,2804.05,2804.85,463334
20,2022-07-11 14:15:00,2804.85,2812.5,2804.1,2809.0,477418
21,2022-07-11 14:30:00,2809.0,2815.0,2806.95,2813.85,491444
22,2022-07-11 14:45:00,2814.75,2828.0,2812.15,2817.65,521692
23,2022-07-11 15:00:00,2819.05,2823.9,2812.65,2815.7,540227
24,2022-07-11 15:15:00,2816.45,2817.55,2805.0,2807.0,574119
25,2022-07-11 15:30:00,2813.5,2813.5,2813.5,2813.5,574142
26,2022-07-12 09:15:00,2800.0,2871.6,2793.0,2855.3,53062
27,2022-07-12 09:30:00,2854.15,2874.55,2848.0,2866.2,124742
28,2022-07-12 09:45:00,2866.2,2868.0,2851.0,2858.35,164200
29,2022-07-12 10:00:00,2858.35,2862.5,2846.0,2846.75,181369
30,2022-07-12 10:15:00,2846.0,2853.8,2835.0,2850.2,205019
31,2022-07-12 10:30:00,2850.2,2874.2,2850.2,2864.0,245580
32,2022-07-12 10:45:00,2864.0,2868.1,2861.5,2868.1,272361
