,Date,o,h,l,c,v
0,2022-07-25 09:15:00,808.8,808.8,801.55,802.1,1235
1,2022-07-25 09:30:00,802.75,814.0,798.85,812.0,5509
2,2022-07-25 09:45:00,812.0,812.0,810.0,811.6,9731
3,2022-07-25 10:00:00,811.6,811.75,810.0,810.0,11835
4,2022-07-25 10:15:00,810.0,813.8,810.0,813.25,18009
5,2022-07-25 10:30:00,811.55,813.2,810.55,811.15,25861
6,2022-07-25 10:45:00,811.15,811.55,810.0,810.0,29304
7,2022-07-25 11:00:00,810.0,811.3,807.9,810.0,36641
8,2022-07-25 11:15:00,810.0,811.15,810.0,810.0,42354
9,2022-07-25 11:30:00,810.0,810.85,810.0,810.15,49239
10,2022-07-25 11:45:00,810.15,811.2,808.75,810.0,71951
11,2022-07-25 12:00:00,810.0,811.2,807.75,808.5,110455
12,2022-07-25 12:15:00,808.5,810.05,807.95,808.25,120809
13,2022-07-25 12:30:00,808.3,810.05,808.25,810.05,121019
14,2022-07-25 12:45:00,808.9,810.05,808.1,810.0,140235
15,2022-07-25 13:00:00,810.0,812.0,809.0,810.05,188553
16,2022-07-25 13:15:00,810.05,811.05,808.05,810.7,220738
17,2022-07-25 13:30:00,810.7,811.1,809.2,811.1,259394
18,2022-07-25 13:45:00,811.1,811.75,810.0,811.75,262551
19,2022-07-25 14:00:00,811.75,811.75,810.0,810.95,265361
20,2022-07-25 14:15:00,810.95,811.5,810.05,811.5,265793
21,2022-07-25 14:30:00,811.5,811.6,810.0,810.05,265936
22,2022-07-25 14:45:00,811.0,811.55,810.05,810.4,266544
23,2022-07-25 15:00:00,810.2,811.7,810.0,811.5,268375
24,2022-07-25 15:15:00,811.35,813.85,810.55,810.55,271420
25,2022-07-25 15:30:00,811.9,811.9,811.9,811.9,274153
