,Date,o,h,l,c,v
0,2022-07-25 09:15:00,79580.0,79970.0,79580.0,79681.25,588
1,2022-07-25 09:30:00,79622.0,79799.25,79550.05,79698.6,1013
2,2022-07-25 09:45:00,79698.6,79969.9,79620.8,79900.0,1439
3,2022-07-25 10:00:00,79900.0,80450.0,79900.0,80442.8,2104
4,2022-07-25 10:15:00,80442.8,81081.0,80078.85,80899.85,3345
5,2022-07-25 10:30:00,80899.85,80899.85,80311.8,80549.0,4727
6,2022-07-25 10:45:00,80549.0,80549.0,80380.85,80400.0,5000
7,2022-07-25 11:00:00,80363.15,80474.1,80041.55,80080.45,5301
8,2022-07-25 11:15:00,80080.45,80500.0,80080.45,80300.0,5581
9,2022-07-25 11:30:00,80300.0,80459.95,80280.0,80378.75,5721
10,2022-07-25 11:45:00,80378.75,80786.2,80370.0,80708.4,5955
11,2022-07-25 12:00:00,80708.4,80777.75,80535.95,80679.8,6280
12,2022-07-25 12:15:00,80679.8,80784.0,80604.0,80784.0,6444
13,2022-07-25 12:30:00,80784.0,80889.85,80665.0,80723.15,6700
14,2022-07-25 12:45:00,80723.15,80942.85,80723.15,80840.2,6989
15,2022-07-25 13:00:00,80840.2,80999.95,80840.2,80978.9,7275
16,2022-07-25 13:15:00,80978.9,81160.6,80854.5,80970.0,7953
17,2022-07-25 13:30:00,80970.0,80970.0,80780.0,80900.0,8686
18,2022-07-25 13:45:00,80900.0,80947.0,80850.0,80889.05,8834
19,2022-07-25 14:00:00,80889.1,80989.85,80850.0,80985.2,9018
20,2022-07-25 14:15:00,80985.2,80985.2,80850.2,80950.0,9257
21,2022-07-25 14:30:00,80950.0,81100.0,80852.0,80925.0,9494
22,2022-07-25 14:45:00,80925.0,81166.55,80901.65,81100.0,9763
23,2022-07-25 15:00:00,81100.0,81100.0,80650.15,80741.55,10202
24,2022-07-25 15:15:00,80741.55,81098.95,80539.4,80658.95,11016
25,2022-07-25 15:30:00,80658.95,80834.05,80658.95,80834.05,11727
