,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1264.0,1275.0,1260.0,1271.0,11413
1,2022-07-11 09:30:00,1271.0,1289.0,1271.0,1285.05,30086
2,2022-07-11 09:45:00,1285.05,1286.5,1272.0,1274.25,37512
3,2022-07-11 10:00:00,1273.7,1274.3,1268.3,1270.7,40798
4,2022-07-11 10:15:00,1270.7,1271.95,1268.7,1268.7,45255
5,2022-07-11 10:30:00,1269.6,1271.6,1268.0,1271.4,46694
6,2022-07-11 10:45:00,1271.4,1271.6,1266.05,1266.2,48081
7,2022-07-11 11:00:00,1266.9,1269.9,1266.4,1268.1,48425
8,2022-07-11 11:15:00,1268.1,1269.0,1262.15,1263.6,51201
9,2022-07-11 11:30:00,1263.6,1266.15,1262.1,1262.15,53127
10,2022-07-11 11:45:00,1262.1,1262.1,1256.1,1259.0,57403
11,2022-07-11 12:00:00,1259.0,1261.7,1259.0,1261.5,58260
12,2022-07-11 12:15:00,1261.5,1264.85,1260.4,1260.65,60025
13,2022-07-11 12:30:00,1260.65,1264.0,1260.0,1262.5,60592
14,2022-07-11 12:45:00,1262.5,1264.0,1261.4,1261.4,61326
15,2022-07-11 13:00:00,1261.1,1263.9,1261.05,1262.2,63174
16,2022-07-11 13:15:00,1262.0,1266.0,1262.0,1263.25,64904
17,2022-07-11 13:30:00,1263.2,1264.75,1262.0,1262.0,67666
18,2022-07-11 13:45:00,1262.05,1264.65,1260.45,1261.5,70730
19,2022-07-11 14:00:00,1262.1,1264.55,1261.5,1262.7,71985
20,2022-07-11 14:15:00,1262.7,1266.3,1262.7,1266.0,73162
21,2022-07-11 14:30:00,1266.05,1268.25,1262.0,1263.0,74627
22,2022-07-11 14:45:00,1263.0,1266.0,1261.5,1265.0,76804
23,2022-07-11 15:00:00,1264.3,1267.45,1264.05,1264.75,80692
24,2022-07-11 15:15:00,1264.75,1267.0,1259.0,1259.9,87367
25,2022-07-11 15:30:00,1259.9,1264.4,1259.9,1264.4,87380
26,2022-07-12 09:15:00,1260.55,1266.6,1256.0,1265.5,2154
27,2022-07-12 09:30:00,1265.6,1268.45,1262.85,1266.4,6426
28,2022-07-12 09:45:00,1266.4,1268.95,1262.0,1263.0,10159
29,2022-07-12 10:00:00,1263.0,1265.75,1262.2,1263.7,12419
30,2022-07-12 10:15:00,1263.7,1264.2,1262.0,1263.85,13960
31,2022-07-12 10:30:00,1263.85,1263.85,1262.05,1263.8,15060
32,2022-07-12 10:45:00,1263.8,1264.05,1262.0,1262.0,15658
