,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1044.6,1045.6,1037.7,1040.4,18957
1,2022-07-25 09:30:00,1040.4,1042.65,1038.35,1039.8,76273
2,2022-07-25 09:45:00,1039.0,1041.45,1037.2,1040.5,119190
3,2022-07-25 10:00:00,1040.5,1041.5,1036.95,1041.0,138047
4,2022-07-25 10:15:00,1040.15,1042.65,1038.4,1041.45,152115
5,2022-07-25 10:30:00,1041.45,1042.0,1040.0,1041.15,162830
6,2022-07-25 10:45:00,1041.15,1041.65,1040.0,1041.15,171780
7,2022-07-25 11:00:00,1041.15,1041.3,1038.55,1038.55,185086
8,2022-07-25 11:15:00,1038.85,1040.5,1038.1,1039.2,197825
9,2022-07-25 11:30:00,1039.05,1040.85,1038.0,1038.9,203329
10,2022-07-25 11:45:00,1038.4,1040.55,1038.2,1040.0,207243
11,2022-07-25 12:00:00,1039.5,1040.05,1039.0,1039.2,211598
12,2022-07-25 12:15:00,1039.2,1040.45,1039.2,1040.0,216322
13,2022-07-25 12:30:00,1040.45,1041.1,1038.8,1040.1,222721
14,2022-07-25 12:45:00,1039.55,1039.75,1039.05,1039.5,228406
15,2022-07-25 13:00:00,1039.5,1041.0,1039.05,1040.35,233001
16,2022-07-25 13:15:00,1040.35,1041.9,1039.95,1040.5,239805
17,2022-07-25 13:30:00,1040.5,1041.3,1039.05,1040.0,244981
18,2022-07-25 13:45:00,1040.0,1041.7,1039.3,1040.7,250846
19,2022-07-25 14:00:00,1040.15,1043.5,1039.9,1043.25,257325
20,2022-07-25 14:15:00,1043.25,1046.9,1041.6,1045.25,268255
21,2022-07-25 14:30:00,1045.25,1048.4,1044.1,1047.5,279501
22,2022-07-25 14:45:00,1047.5,1054.45,1047.5,1052.5,312011
23,2022-07-25 15:00:00,1052.5,1054.8,1049.1,1052.35,340635
24,2022-07-25 15:15:00,1052.35,1053.0,1048.2,1048.8,361551
25,2022-07-25 15:30:00,1048.8,1052.05,1048.8,1052.05,370170
