,Date,o,h,l,c,v
0,2022-07-25 09:15:00,288.55,289.0,286.9,286.9,18563
1,2022-07-25 09:30:00,286.65,287.35,285.45,286.75,40401
2,2022-07-25 09:45:00,286.75,286.75,284.55,285.05,49944
3,2022-07-25 10:00:00,285.05,286.35,284.25,286.0,60441
4,2022-07-25 10:15:00,286.0,286.65,285.1,285.5,67321
5,2022-07-25 10:30:00,285.5,285.75,284.9,285.55,73058
6,2022-07-25 10:45:00,285.55,285.7,284.95,285.7,79063
7,2022-07-25 11:00:00,285.7,285.7,284.95,285.0,84964
8,2022-07-25 11:15:00,285.0,285.25,284.7,285.25,87182
9,2022-07-25 11:30:00,285.25,285.45,284.0,284.3,92111
10,2022-07-25 11:45:00,284.3,285.0,284.1,285.0,101002
11,2022-07-25 12:00:00,285.0,285.0,283.15,283.35,107395
12,2022-07-25 12:15:00,283.35,284.1,283.35,284.0,117485
13,2022-07-25 12:30:00,284.0,284.0,283.55,283.75,121142
14,2022-07-25 12:45:00,283.75,283.9,283.2,283.2,124150
15,2022-07-25 13:00:00,283.2,283.3,283.0,283.15,131941
16,2022-07-25 13:15:00,283.15,283.85,283.15,283.8,139888
17,2022-07-25 13:30:00,283.8,283.8,283.3,283.55,141945
18,2022-07-25 13:45:00,283.55,283.65,283.3,283.5,144430
19,2022-07-25 14:00:00,283.5,284.55,283.3,284.55,149030
20,2022-07-25 14:15:00,284.55,285.35,284.3,285.35,160070
21,2022-07-25 14:30:00,285.4,285.8,285.0,285.5,168576
22,2022-07-25 14:45:00,285.5,285.8,284.95,285.35,175864
23,2022-07-25 15:00:00,285.35,285.65,284.8,285.0,190349
24,2022-07-25 15:15:00,284.8,285.15,283.15,284.1,216994
25,2022-07-25 15:30:00,284.1,284.45,284.1,284.45,238294
