,Date,o,h,l,c,v
0,2022-07-11 09:15:00,73.3,74.25,73.05,73.5,2257810
1,2022-07-11 09:30:00,73.4,74.7,73.4,74.0,4249809
2,2022-07-11 09:45:00,74.0,74.05,73.6,73.8,5223480
3,2022-07-11 10:00:00,73.75,74.05,73.65,73.75,5885193
4,2022-07-11 10:15:00,73.75,74.25,73.6,74.0,6551953
5,2022-07-11 10:30:00,74.05,74.2,73.75,73.9,7077193
6,2022-07-11 10:45:00,73.9,74.05,73.4,73.55,7589474
7,2022-07-11 11:00:00,73.55,73.6,73.3,73.4,8134030
8,2022-07-11 11:15:00,73.4,73.45,73.1,73.35,8838269
9,2022-07-11 11:30:00,73.3,73.5,73.0,73.05,9482232
10,2022-07-11 11:45:00,73.1,73.1,72.9,73.05,10004131
11,2022-07-11 12:00:00,73.1,73.5,73.0,73.35,10499641
12,2022-07-11 12:15:00,73.4,73.4,73.1,73.15,10884986
13,2022-07-11 12:30:00,73.15,73.3,73.1,73.1,11329393
14,2022-07-11 12:45:00,73.1,73.45,73.1,73.4,11682477
15,2022-07-11 13:00:00,73.45,73.45,73.2,73.35,12038508
16,2022-07-11 13:15:00,73.35,74.6,73.35,74.45,14135904
17,2022-07-11 13:30:00,74.5,75.05,74.45,74.55,16477065
18,2022-07-11 13:45:00,74.5,74.7,73.95,74.0,17552383
19,2022-07-11 14:00:00,74.0,74.15,73.6,73.85,18498187
20,2022-07-11 14:15:00,73.85,73.95,73.65,73.85,19024722
21,2022-07-11 14:30:00,73.85,74.05,73.7,73.75,19627135
22,2022-07-11 14:45:00,73.75,73.9,73.5,73.8,20382925
23,2022-07-11 15:00:00,73.8,74.05,73.5,73.55,21569723
24,2022-07-11 15:15:00,73.6,73.7,73.35,73.55,22984221
25,2022-07-11 15:30:00,73.55,73.65,73.55,73.65,22998877
26,2022-07-12 09:15:00,72.35,72.4,71.45,71.9,2034510
27,2022-07-12 09:30:00,71.9,72.25,71.55,71.9,3814891
28,2022-07-12 09:45:00,71.95,72.4,71.9,72.25,4809278
29,2022-07-12 10:00:00,72.3,72.45,72.05,72.15,5641369
30,2022-07-12 10:15:00,72.15,72.55,71.95,72.55,6423147
31,2022-07-12 10:30:00,72.5,72.75,72.05,72.15,7978308
32,2022-07-12 10:45:00,72.15,72.3,72.15,72.25,8719107
