,Date,o,h,l,c,v
0,2022-07-11 09:15:00,3782.0,3805.35,3735.0,3788.0,11765
1,2022-07-11 09:30:00,3786.0,3787.95,3766.05,3773.7,15783
2,2022-07-11 09:45:00,3773.7,3799.9,3773.15,3791.75,20072
3,2022-07-11 10:00:00,3791.75,3817.0,3787.35,3808.55,26053
4,2022-07-11 10:15:00,3808.55,3812.55,3793.0,3797.9,28476
5,2022-07-11 10:30:00,3797.9,3812.0,3794.2,3804.0,31599
6,2022-07-11 10:45:00,3804.0,3806.95,3802.75,3802.85,32513
7,2022-07-11 11:00:00,3805.4,3808.8,3800.1,3805.05,33490
8,2022-07-11 11:15:00,3805.05,3807.0,3788.45,3788.45,34672
9,2022-07-11 11:30:00,3790.45,3793.4,3776.1,3776.15,37014
10,2022-07-11 11:45:00,3775.15,3777.85,3760.75,3763.4,38924
11,2022-07-11 12:00:00,3763.5,3768.85,3762.0,3763.1,40417
12,2022-07-11 12:15:00,3763.1,3766.25,3750.05,3750.05,42187
13,2022-07-11 12:30:00,3750.05,3750.95,3734.65,3737.0,47273
14,2022-07-11 12:45:00,3737.0,3753.1,3736.1,3753.1,51799
15,2022-07-11 13:00:00,3753.1,3767.0,3752.4,3761.05,78040
16,2022-07-11 13:15:00,3761.05,3769.95,3759.0,3766.65,79523
17,2022-07-11 13:30:00,3768.0,3779.0,3765.3,3772.1,82536
18,2022-07-11 13:45:00,3772.1,3776.0,3769.65,3773.65,83595
19,2022-07-11 14:00:00,3773.65,3777.95,3769.05,3770.95,85180
20,2022-07-11 14:15:00,3770.95,3772.0,3757.75,3767.25,86457
21,2022-07-11 14:30:00,3767.25,3775.0,3765.0,3768.0,87959
22,2022-07-11 14:45:00,3769.75,3784.0,3766.8,3781.95,89846
23,2022-07-11 15:00:00,3781.95,3799.95,3780.3,3785.05,93132
24,2022-07-11 15:15:00,3785.05,3795.0,3772.85,3784.0,97218
25,2022-07-11 15:30:00,3788.2,3788.2,3788.2,3788.2,97218
26,2022-07-12 09:15:00,3760.0,3784.7,3711.7,3767.55,4707
27,2022-07-12 09:30:00,3767.55,3799.6,3765.0,3795.0,8280
28,2022-07-12 09:45:00,3795.0,3800.0,3786.05,3790.25,11315
29,2022-07-12 10:00:00,3790.25,3790.25,3770.0,3772.6,14281
30,2022-07-12 10:15:00,3772.6,3774.7,3766.5,3770.0,18987
31,2022-07-12 10:30:00,3770.0,3770.45,3750.0,3754.95,20945
32,2022-07-12 10:45:00,3754.95,3754.95,3742.2,3749.9,24249
