,Date,o,h,l,c,v
0,2022-07-25 09:15:00,18988.7,19010.0,18806.2,18816.0,2598
1,2022-07-25 09:30:00,18816.0,18850.0,18806.1,18823.6,4653
2,2022-07-25 09:45:00,18807.25,18839.95,18800.0,18832.35,5521
3,2022-07-25 10:00:00,18832.35,18840.8,18794.3,18830.0,6628
4,2022-07-25 10:15:00,18830.0,18833.8,18781.0,18781.0,8643
5,2022-07-25 10:30:00,18781.0,18800.0,18750.0,18770.0,9770
6,2022-07-25 10:45:00,18770.0,18790.0,18746.1,18788.05,10846
7,2022-07-25 11:00:00,18788.05,18800.0,18752.7,18764.7,11457
8,2022-07-25 11:15:00,18764.7,18798.3,18740.0,18740.0,11907
9,2022-07-25 11:30:00,18740.0,18748.0,18712.05,18723.0,12693
10,2022-07-25 11:45:00,18723.0,18723.1,18712.5,18723.0,13862
11,2022-07-25 12:00:00,18723.0,18743.65,18720.75,18739.85,16045
12,2022-07-25 12:15:00,18739.85,18800.0,18733.1,18772.35,17538
13,2022-07-25 12:30:00,18772.35,18797.35,18730.45,18741.1,18821
14,2022-07-25 12:45:00,18741.1,18763.0,18720.0,18749.4,19856
15,2022-07-25 13:00:00,18749.4,18790.0,18743.05,18781.45,20984
16,2022-07-25 13:15:00,18790.0,18791.85,18763.0,18786.65,22115
17,2022-07-25 13:30:00,18786.65,18800.0,18765.55,18784.75,22986
18,2022-07-25 13:45:00,18784.75,18799.0,18768.05,18791.0,23689
19,2022-07-25 14:00:00,18791.0,18808.0,18775.45,18795.35,24406
20,2022-07-25 14:15:00,18795.35,18825.0,18790.05,18807.25,26350
21,2022-07-25 14:30:00,18807.25,18820.0,18760.05,18800.0,27731
22,2022-07-25 14:45:00,18800.0,18800.0,18740.0,18740.1,29251
23,2022-07-25 15:00:00,18749.45,18783.1,18740.05,18746.0,31358
24,2022-07-25 15:15:00,18742.8,18776.7,18742.35,18743.0,34790
25,2022-07-25 15:30:00,18743.0,18757.55,18743.0,18757.55,35952
