,Date,o,h,l,c,v
0,2022-07-25 09:15:00,64.0,64.25,63.25,63.4,63560
1,2022-07-25 09:30:00,63.4,63.85,63.2,63.65,148557
2,2022-07-25 09:45:00,63.65,63.7,63.3,63.5,199813
3,2022-07-25 10:00:00,63.5,63.7,63.4,63.7,216455
4,2022-07-25 10:15:00,63.7,64.15,63.65,64.15,243199
5,2022-07-25 10:30:00,64.1,64.65,63.9,64.6,300585
6,2022-07-25 10:45:00,64.6,64.65,63.85,63.9,394433
7,2022-07-25 11:00:00,63.9,64.0,63.45,63.6,439152
8,2022-07-25 11:15:00,63.6,64.15,63.5,64.0,457847
9,2022-07-25 11:30:00,64.1,64.15,64.0,64.15,466534
10,2022-07-25 11:45:00,64.15,64.15,63.95,64.1,474824
11,2022-07-25 12:00:00,64.1,64.25,64.1,64.2,487606
12,2022-07-25 12:15:00,64.25,64.45,64.15,64.15,522612
13,2022-07-25 12:30:00,64.05,64.15,63.8,63.95,546371
14,2022-07-25 12:45:00,63.95,64.1,63.85,63.85,572426
15,2022-07-25 13:00:00,63.95,63.95,63.4,63.55,614971
16,2022-07-25 13:15:00,63.55,63.7,63.05,63.2,642083
17,2022-07-25 13:30:00,63.2,63.5,63.15,63.25,680981
18,2022-07-25 13:45:00,63.25,63.35,63.2,63.25,699192
19,2022-07-25 14:00:00,63.25,63.4,63.25,63.35,708765
20,2022-07-25 14:15:00,63.35,63.35,63.25,63.35,725849
21,2022-07-25 14:30:00,63.35,63.35,63.1,63.1,746909
22,2022-07-25 14:45:00,63.1,63.2,62.75,62.9,816860
23,2022-07-25 15:00:00,62.95,63.25,62.75,63.15,863264
24,2022-07-25 15:15:00,63.2,63.2,62.75,62.9,946708
25,2022-07-25 15:30:00,62.9,62.95,62.9,62.95,990268
