,Date,o,h,l,c,v
0,2022-07-11 09:15:00,645.0,645.85,638.5,638.5,13106
1,2022-07-11 09:30:00,639.2,644.0,634.95,640.85,18876
2,2022-07-11 09:45:00,640.85,642.75,639.65,640.65,20752
3,2022-07-11 10:00:00,640.05,643.0,640.0,640.8,23646
4,2022-07-11 10:15:00,641.5,642.0,640.3,640.3,24695
5,2022-07-11 10:30:00,641.0,641.5,640.0,640.1,25870
6,2022-07-11 10:45:00,640.1,642.75,640.05,641.6,29492
7,2022-07-11 11:00:00,641.7,642.0,640.1,641.15,31301
8,2022-07-11 11:15:00,641.15,642.0,640.2,641.15,32456
9,2022-07-11 11:30:00,641.8,642.0,641.2,641.5,32824
10,2022-07-11 11:45:00,641.5,643.15,641.5,641.55,34824
11,2022-07-11 12:00:00,641.55,643.5,640.85,641.0,36016
12,2022-07-11 12:15:00,641.0,641.8,640.0,640.25,44009
13,2022-07-11 12:30:00,640.15,641.5,639.0,639.45,45917
14,2022-07-11 12:45:00,639.45,640.75,639.1,640.5,46725
15,2022-07-11 13:00:00,640.0,642.6,639.65,642.05,47746
16,2022-07-11 13:15:00,642.05,644.45,642.0,643.15,48498
17,2022-07-11 13:30:00,643.15,643.75,641.0,641.0,50032
18,2022-07-11 13:45:00,641.45,642.3,641.4,641.65,50201
19,2022-07-11 14:00:00,642.0,642.0,639.3,640.05,53278
20,2022-07-11 14:15:00,640.05,640.75,639.6,640.0,54118
21,2022-07-11 14:30:00,640.5,640.5,637.7,637.95,64600
22,2022-07-11 14:45:00,637.95,637.95,636.1,636.25,68561
23,2022-07-11 15:00:00,636.25,638.25,636.15,636.85,78668
24,2022-07-11 15:15:00,637.75,637.9,636.5,636.95,83654
25,2022-07-11 15:30:00,637.95,637.95,637.95,637.95,83654
26,2022-07-12 09:15:00,634.95,644.1,634.1,639.85,1563
27,2022-07-12 09:30:00,639.85,642.0,638.45,640.05,11044
28,2022-07-12 09:45:00,640.05,640.05,636.25,639.85,22092
29,2022-07-12 10:00:00,639.85,639.85,638.2,639.2,27016
30,2022-07-12 10:15:00,639.5,640.75,638.45,640.15,29107
31,2022-07-12 10:30:00,640.7,640.95,638.6,640.0,30711
32,2022-07-12 10:45:00,640.0,640.0,638.75,639.5,52335
