,Date,o,h,l,c,v
0,2022-07-25 09:15:00,32.9,33.15,32.9,33.0,382985
1,2022-07-25 09:30:00,33.0,33.1,32.85,32.95,913640
2,2022-07-25 09:45:00,32.9,33.0,32.9,33.0,1144953
3,2022-07-25 10:00:00,33.0,33.1,33.0,33.1,1225615
4,2022-07-25 10:15:00,33.1,33.2,33.05,33.2,1276144
5,2022-07-25 10:30:00,33.2,33.2,33.05,33.05,1407782
6,2022-07-25 10:45:00,33.05,33.1,33.0,33.0,1443834
7,2022-07-25 11:00:00,33.0,33.1,32.9,32.95,1514296
8,2022-07-25 11:15:00,32.95,33.05,32.95,33.0,1616139
9,2022-07-25 11:30:00,33.05,33.05,32.9,32.95,3997395
10,2022-07-25 11:45:00,32.95,33.05,32.9,33.05,4218438
11,2022-07-25 12:00:00,33.05,33.05,32.95,32.95,4244343
12,2022-07-25 12:15:00,32.95,33.2,32.85,32.9,6013063
13,2022-07-25 12:30:00,32.9,33.0,32.9,33.0,6805030
14,2022-07-25 12:45:00,33.0,33.0,32.95,32.95,6858626
15,2022-07-25 13:00:00,32.95,33.0,32.9,33.0,6905934
16,2022-07-25 13:15:00,33.0,33.0,32.9,33.0,6956458
17,2022-07-25 13:30:00,33.0,33.0,32.95,32.95,7004783
18,2022-07-25 13:45:00,32.95,33.05,32.95,33.05,7254333
19,2022-07-25 14:00:00,33.05,33.05,33.0,33.0,7360706
20,2022-07-25 14:15:00,33.0,33.05,33.0,33.0,7501531
21,2022-07-25 14:30:00,33.0,33.05,33.0,33.0,7725036
22,2022-07-25 14:45:00,33.0,33.05,33.0,33.0,7858895
23,2022-07-25 15:00:00,33.0,33.05,33.0,33.0,7986977
24,2022-07-25 15:15:00,33.0,33.1,33.0,33.1,8415684
25,2022-07-25 15:30:00,33.1,33.1,33.0,33.0,8881965
