,Date,o,h,l,c,v
0,2022-07-11 09:15:00,66.55,67.4,66.55,66.6,139493
1,2022-07-11 09:30:00,66.6,66.9,66.4,66.85,238932
2,2022-07-11 09:45:00,66.9,67.4,66.8,66.9,338434
3,2022-07-11 10:00:00,66.9,67.25,66.9,67.25,396738
4,2022-07-11 10:15:00,67.25,67.35,67.0,67.0,426066
5,2022-07-11 10:30:00,67.05,67.05,66.8,66.8,447559
6,2022-07-11 10:45:00,66.85,66.95,66.7,66.7,483176
7,2022-07-11 11:00:00,66.7,66.85,66.7,66.75,497628
8,2022-07-11 11:15:00,66.75,66.95,66.7,66.9,510071
9,2022-07-11 11:30:00,66.9,66.95,66.7,66.7,539562
10,2022-07-11 11:45:00,66.7,66.85,66.7,66.8,560441
11,2022-07-11 12:00:00,66.8,67.2,66.8,67.05,583118
12,2022-07-11 12:15:00,67.05,67.1,66.8,66.95,598386
13,2022-07-11 12:30:00,66.95,66.95,66.75,66.9,608605
14,2022-07-11 12:45:00,66.9,67.05,66.55,66.75,699326
15,2022-07-11 13:00:00,66.75,66.9,66.7,66.9,703823
16,2022-07-11 13:15:00,66.9,67.0,66.75,66.9,729406
17,2022-07-11 13:30:00,66.9,67.3,66.9,67.3,801384
18,2022-07-11 13:45:00,67.35,67.4,67.1,67.15,865355
19,2022-07-11 14:00:00,67.15,67.3,66.9,67.0,921635
20,2022-07-11 14:15:00,67.0,67.25,66.85,67.1,954045
21,2022-07-11 14:30:00,67.1,67.75,67.1,67.3,1097291
22,2022-07-11 14:45:00,67.25,67.3,67.1,67.25,1163653
23,2022-07-11 15:00:00,67.25,67.45,67.1,67.1,1231172
24,2022-07-11 15:15:00,67.1,67.3,67.05,67.25,1395828
25,2022-07-11 15:30:00,67.2,67.2,67.2,67.2,1396698
26,2022-07-12 09:15:00,66.85,67.6,66.85,67.45,101649
27,2022-07-12 09:30:00,67.5,69.1,67.5,68.75,419863
28,2022-07-12 09:45:00,68.75,70.6,68.75,69.7,1164813
29,2022-07-12 10:00:00,69.65,69.8,69.5,69.8,1513042
30,2022-07-12 10:15:00,69.75,69.9,69.55,69.7,1658981
31,2022-07-12 10:30:00,69.7,69.9,69.7,69.8,1782297
32,2022-07-12 10:45:00,69.85,70.25,69.8,70.2,1932043
