,Date,o,h,l,c,v
0,2022-07-11 09:15:00,257.05,259.9,256.95,259.0,44937
1,2022-07-11 09:30:00,259.0,261.55,258.9,260.55,77205
2,2022-07-11 09:45:00,260.8,261.3,259.8,260.65,101208
3,2022-07-11 10:00:00,260.65,265.45,260.5,264.3,263933
4,2022-07-11 10:15:00,264.55,265.9,264.5,265.0,383761
5,2022-07-11 10:30:00,265.3,265.3,263.0,264.0,437622
6,2022-07-11 10:45:00,264.0,265.0,264.0,264.35,461016
7,2022-07-11 11:00:00,264.55,265.3,264.25,265.0,483828
8,2022-07-11 11:15:00,265.0,265.25,264.1,264.55,508458
9,2022-07-11 11:30:00,264.55,267.6,264.4,267.0,682656
10,2022-07-11 11:45:00,267.0,267.25,266.05,266.65,751269
11,2022-07-11 12:00:00,266.5,268.25,266.35,268.0,833354
12,2022-07-11 12:15:00,268.0,268.0,266.15,266.5,878392
13,2022-07-11 12:30:00,266.55,267.5,265.65,266.8,925810
14,2022-07-11 12:45:00,266.8,268.4,266.7,268.15,985195
15,2022-07-11 13:00:00,268.4,268.4,267.25,267.55,1021276
16,2022-07-11 13:15:00,267.55,267.9,267.1,267.7,1034833
17,2022-07-11 13:30:00,267.7,267.8,266.85,267.4,1053257
18,2022-07-11 13:45:00,267.4,267.6,266.55,267.0,1073437
19,2022-07-11 14:00:00,267.35,267.9,266.35,266.8,1095722
20,2022-07-11 14:15:00,266.8,267.75,266.35,267.35,1108658
21,2022-07-11 14:30:00,267.35,268.0,267.0,267.25,1133909
22,2022-07-11 14:45:00,267.25,267.8,266.5,267.15,1193246
23,2022-07-11 15:00:00,267.15,274.6,267.05,274.05,1791759
24,2022-07-11 15:15:00,274.0,274.5,272.2,274.5,2175872
25,2022-07-11 15:30:00,274.0,274.0,272.5,272.5,2179064
26,2022-07-12 09:15:00,273.85,277.8,273.3,274.0,302383
27,2022-07-12 09:30:00,273.8,277.55,273.5,277.25,545077
28,2022-07-12 09:45:00,277.25,279.35,276.25,278.55,849971
29,2022-07-12 10:00:00,278.55,280.35,278.25,279.5,1171271
30,2022-07-12 10:15:00,279.7,279.75,277.6,279.7,1358090
31,2022-07-12 10:30:00,279.7,284.7,279.5,281.95,1820236
32,2022-07-12 10:45:00,281.95,282.3,280.55,280.55,2113365
