,Date,o,h,l,c,v
0,2022-07-25 09:15:00,149.3,149.55,148.2,148.2,197827
1,2022-07-25 09:30:00,148.2,148.6,147.8,148.35,458325
2,2022-07-25 09:45:00,148.3,148.5,148.1,148.3,624113
3,2022-07-25 10:00:00,148.25,148.3,147.95,148.05,750742
4,2022-07-25 10:15:00,148.15,148.2,147.85,147.9,940737
5,2022-07-25 10:30:00,147.85,147.95,147.65,147.65,1136185
6,2022-07-25 10:45:00,147.65,147.85,147.5,147.7,1426812
7,2022-07-25 11:00:00,147.65,147.9,147.4,147.85,2302204
8,2022-07-25 11:15:00,147.8,148.6,147.8,148.55,2970768
9,2022-07-25 11:30:00,148.5,149.45,148.1,149.25,3767763
10,2022-07-25 11:45:00,149.25,149.3,148.85,148.9,4169853
11,2022-07-25 12:00:00,148.85,149.0,148.5,149.0,4471897
12,2022-07-25 12:15:00,148.95,149.2,148.55,148.6,4797424
13,2022-07-25 12:30:00,148.6,149.2,148.6,149.15,5078589
14,2022-07-25 12:45:00,149.15,149.25,148.95,149.25,5223994
15,2022-07-25 13:00:00,149.3,149.55,149.15,149.55,5327200
16,2022-07-25 13:15:00,149.5,149.6,149.2,149.25,5569434
17,2022-07-25 13:30:00,149.35,149.65,149.25,149.65,5684254
18,2022-07-25 13:45:00,149.6,149.65,149.3,149.35,5817552
19,2022-07-25 14:00:00,149.4,149.9,149.35,149.8,6019610
20,2022-07-25 14:15:00,149.85,149.9,149.6,149.85,6215582
21,2022-07-25 14:30:00,149.85,150.3,149.65,150.0,6419213
22,2022-07-25 14:45:00,150.0,150.15,149.8,150.05,6679559
23,2022-07-25 15:00:00,150.05,150.1,149.9,149.95,6937006
24,2022-07-25 15:15:00,150.1,150.4,149.9,150.05,7593910
25,2022-07-25 15:30:00,150.0,150.1,150.0,150.1,7996271
