,Date,o,h,l,c,v
0,2022-07-11 09:15:00,290.5,291.45,286.55,289.55,33609
1,2022-07-11 09:30:00,289.55,290.55,288.25,290.55,40668
2,2022-07-11 09:45:00,290.55,291.5,289.5,290.1,50394
3,2022-07-11 10:00:00,290.1,290.7,289.75,290.1,52148
4,2022-07-11 10:15:00,289.8,291.5,289.55,289.75,67602
5,2022-07-11 10:30:00,290.0,290.05,289.6,289.75,68132
6,2022-07-11 10:45:00,289.75,290.05,288.6,289.65,76012
7,2022-07-11 11:00:00,289.85,290.0,289.15,289.4,78531
8,2022-07-11 11:15:00,290.0,290.0,289.15,289.8,79348
9,2022-07-11 11:30:00,289.3,291.5,289.15,290.6,88944
10,2022-07-11 11:45:00,290.6,290.95,290.2,290.75,90170
11,2022-07-11 12:00:00,290.75,290.75,289.65,289.7,90698
12,2022-07-11 12:15:00,289.7,290.7,289.5,289.7,110433
13,2022-07-11 12:30:00,289.7,290.05,289.45,290.0,126723
14,2022-07-11 12:45:00,290.0,290.0,289.6,289.95,127497
15,2022-07-11 13:00:00,289.95,289.95,288.1,288.75,146236
16,2022-07-11 13:15:00,288.75,289.5,288.2,289.45,146740
17,2022-07-11 13:30:00,289.45,289.95,289.05,289.55,148150
18,2022-07-11 13:45:00,289.55,290.45,289.55,290.0,164721
19,2022-07-11 14:00:00,289.65,289.95,289.45,289.9,165756
20,2022-07-11 14:15:00,289.9,289.9,288.9,288.9,175010
21,2022-07-11 14:30:00,288.9,289.9,288.8,289.25,176071
22,2022-07-11 14:45:00,289.25,289.65,289.0,289.0,184044
23,2022-07-11 15:00:00,289.15,290.1,289.15,289.9,192021
24,2022-07-11 15:15:00,289.9,294.0,288.75,290.95,205354
25,2022-07-11 15:30:00,290.0,290.0,289.7,289.7,205433
26,2022-07-12 09:15:00,290.1,290.9,288.45,289.95,15611
27,2022-07-12 09:30:00,290.05,290.2,288.65,289.2,28952
28,2022-07-12 09:45:00,289.2,289.95,289.2,289.95,32562
29,2022-07-12 10:00:00,289.6,289.8,289.25,289.25,34973
30,2022-07-12 10:15:00,289.25,289.8,289.25,289.7,36662
31,2022-07-12 10:30:00,289.7,289.7,289.2,289.3,37216
32,2022-07-12 10:45:00,289.3,290.0,289.3,290.0,38868
