,Date,o,h,l,c,v
0,2022-07-11 09:15:00,1406.0,1406.0,1388.85,1393.7,35433
1,2022-07-11 09:30:00,1394.55,1404.8,1393.05,1402.2,45413
2,2022-07-11 09:45:00,1401.85,1403.45,1397.1,1398.0,50015
3,2022-07-11 10:00:00,1398.0,1407.0,1397.25,1401.5,57515
4,2022-07-11 10:15:00,1401.5,1403.0,1395.55,1401.05,64073
5,2022-07-11 10:30:00,1401.05,1401.8,1396.9,1397.5,66094
6,2022-07-11 10:45:00,1397.5,1401.0,1397.5,1400.0,67283
7,2022-07-11 11:00:00,1400.0,1400.0,1397.1,1399.85,68612
8,2022-07-11 11:15:00,1399.9,1400.5,1397.05,1400.5,71039
9,2022-07-11 11:30:00,1400.5,1405.2,1398.5,1398.5,73855
10,2022-07-11 11:45:00,1399.6,1404.7,1397.35,1401.0,75471
11,2022-07-11 12:00:00,1401.0,1401.95,1398.7,1400.0,76598
12,2022-07-11 12:15:00,1400.0,1403.85,1399.05,1400.4,79333
13,2022-07-11 12:30:00,1401.4,1402.15,1399.0,1402.0,80438
14,2022-07-11 12:45:00,1402.0,1402.35,1399.0,1400.9,81017
15,2022-07-11 13:00:00,1400.9,1402.1,1399.25,1399.85,82223
16,2022-07-11 13:15:00,1399.8,1402.0,1399.1,1400.75,83633
17,2022-07-11 13:30:00,1400.0,1401.9,1399.65,1400.95,86504
18,2022-07-11 13:45:00,1400.95,1401.95,1397.0,1398.15,89698
19,2022-07-11 14:00:00,1398.2,1404.15,1397.1,1400.95,96615
20,2022-07-11 14:15:00,1401.55,1403.05,1400.0,1402.95,98631
21,2022-07-11 14:30:00,1402.95,1403.0,1398.95,1400.55,102187
22,2022-07-11 14:45:00,1400.55,1400.65,1398.0,1399.75,105365
23,2022-07-11 15:00:00,1400.0,1420.0,1400.0,1409.25,136653
24,2022-07-11 15:15:00,1409.45,1414.9,1404.95,1406.0,159444
25,2022-07-11 15:30:00,1410.25,1410.25,1410.25,1410.25,159453
26,2022-07-12 09:15:00,1402.05,1407.0,1392.9,1400.8,9911
27,2022-07-12 09:30:00,1401.0,1403.25,1398.25,1399.3,17748
28,2022-07-12 09:45:00,1399.25,1399.85,1396.0,1398.5,23358
29,2022-07-12 10:00:00,1398.45,1407.0,1398.05,1403.0,29330
30,2022-07-12 10:15:00,1403.0,1403.0,1397.35,1399.75,33970
31,2022-07-12 10:30:00,1399.75,1401.55,1398.05,1400.35,35762
32,2022-07-12 10:45:00,1400.35,1401.8,1399.35,1400.7,36882
