,Date,o,h,l,c,v
0,2022-07-11 09:15:00,803.5,807.6,798.05,798.15,46397
1,2022-07-11 09:30:00,798.65,808.35,798.1,807.7,76231
2,2022-07-11 09:45:00,809.75,811.0,804.3,805.8,134284
3,2022-07-11 10:00:00,805.8,808.95,804.1,806.35,154259
4,2022-07-11 10:15:00,806.35,807.6,805.25,807.25,160639
5,2022-07-11 10:30:00,807.25,810.4,807.0,809.0,172413
6,2022-07-11 10:45:00,809.0,811.35,807.7,809.45,195187
7,2022-07-11 11:00:00,809.45,812.0,807.8,809.2,225046
8,2022-07-11 11:15:00,809.4,813.85,808.65,813.85,242408
9,2022-07-11 11:30:00,813.85,816.45,812.85,814.2,278471
10,2022-07-11 11:45:00,814.2,816.0,813.0,814.9,290395
11,2022-07-11 12:00:00,815.0,815.85,809.6,810.55,341547
12,2022-07-11 12:15:00,810.55,810.95,805.35,805.45,372353
13,2022-07-11 12:30:00,805.45,811.85,805.1,811.35,389532
14,2022-07-11 12:45:00,811.35,811.5,809.05,809.2,407486
15,2022-07-11 13:00:00,809.2,810.4,808.05,808.9,420015
16,2022-07-11 13:15:00,808.9,809.35,806.25,808.45,434096
17,2022-07-11 13:30:00,808.1,811.2,807.8,811.2,446836
18,2022-07-11 13:45:00,811.2,811.2,807.85,809.5,461728
19,2022-07-11 14:00:00,809.5,812.5,809.5,812.45,471127
20,2022-07-11 14:15:00,812.55,814.9,810.7,811.55,482889
21,2022-07-11 14:30:00,811.55,814.8,811.2,813.55,490100
22,2022-07-11 14:45:00,813.55,814.8,810.65,811.35,507099
23,2022-07-11 15:00:00,811.25,829.0,811.0,815.35,689312
24,2022-07-11 15:15:00,815.35,821.8,814.35,819.0,763887
25,2022-07-11 15:30:00,822.05,822.05,822.05,822.05,764398
26,2022-07-12 09:15:00,818.9,824.35,816.75,822.15,40025
27,2022-07-12 09:30:00,822.15,826.05,821.0,821.05,82724
28,2022-07-12 09:45:00,821.05,822.95,820.0,822.9,98377
29,2022-07-12 10:00:00,822.9,829.55,822.0,825.05,123174
30,2022-07-12 10:15:00,825.05,826.5,824.05,826.45,152252
31,2022-07-12 10:30:00,826.45,826.45,821.8,823.5,161998
32,2022-07-12 10:45:00,823.5,824.6,822.0,824.2,169323
