,Date,o,h,l,c,v
0,2022-07-11 09:15:00,3209.45,3217.8,3164.05,3165.05,6017
1,2022-07-11 09:30:00,3165.05,3177.95,3165.0,3174.55,8656
2,2022-07-11 09:45:00,3171.1,3186.3,3171.1,3180.6,10090
3,2022-07-11 10:00:00,3180.6,3184.3,3176.4,3184.3,11741
4,2022-07-11 10:15:00,3184.3,3184.3,3175.0,3177.95,13321
5,2022-07-11 10:30:00,3177.95,3184.0,3177.9,3183.95,13610
6,2022-07-11 10:45:00,3182.9,3184.3,3178.8,3181.9,14460
7,2022-07-11 11:00:00,3181.9,3186.0,3180.15,3184.95,15198
8,2022-07-11 11:15:00,3184.95,3185.85,3181.0,3183.2,15436
9,2022-07-11 11:30:00,3183.2,3189.75,3183.2,3186.25,16083
10,2022-07-11 11:45:00,3186.05,3187.0,3183.25,3186.5,16392
11,2022-07-11 12:00:00,3186.5,3189.55,3186.5,3187.0,17031
12,2022-07-11 12:15:00,3187.0,3195.0,3187.0,3193.95,18197
13,2022-07-11 12:30:00,3193.95,3213.05,3190.05,3203.9,21907
14,2022-07-11 12:45:00,3203.9,3223.8,3201.95,3223.8,24648
15,2022-07-11 13:00:00,3223.8,3239.95,3220.0,3238.55,30872
16,2022-07-11 13:15:00,3239.0,3248.7,3210.65,3229.95,35786
17,2022-07-11 13:30:00,3229.95,3229.95,3189.05,3207.0,39059
18,2022-07-11 13:45:00,3207.0,3210.5,3204.65,3207.6,40029
19,2022-07-11 14:00:00,3207.6,3216.95,3205.2,3213.95,41227
20,2022-07-11 14:15:00,3213.95,3216.15,3204.0,3207.9,43132
21,2022-07-11 14:30:00,3207.9,3215.1,3204.55,3212.6,43803
22,2022-07-11 14:45:00,3212.6,3214.15,3204.25,3210.5,44948
23,2022-07-11 15:00:00,3210.5,3224.0,3205.25,3207.0,48485
24,2022-07-11 15:15:00,3207.0,3228.05,3200.0,3219.65,53349
25,2022-07-11 15:30:00,3212.25,3212.25,3212.25,3212.25,53353
26,2022-07-12 09:15:00,3199.7,3230.55,3186.0,3230.55,1383
27,2022-07-12 09:30:00,3234.15,3236.0,3215.0,3215.0,3692
28,2022-07-12 09:45:00,3214.95,3224.35,3210.0,3224.35,4933
29,2022-07-12 10:00:00,3224.35,3247.6,3224.35,3241.55,7555
30,2022-07-12 10:15:00,3241.55,3249.0,3232.0,3232.0,13415
31,2022-07-12 10:30:00,3232.0,3232.4,3219.05,3221.95,17169
32,2022-07-12 10:45:00,3221.95,3227.95,3220.55,3227.95,19702
