,Date,o,h,l,c,v
0,2022-07-11 09:15:00,121.65,123.25,121.25,122.9,3202331
1,2022-07-11 09:30:00,122.9,123.75,122.75,123.5,5295635
2,2022-07-11 09:45:00,123.5,123.95,123.45,123.8,6587617
3,2022-07-11 10:00:00,123.8,124.7,123.75,124.45,8744175
4,2022-07-11 10:15:00,124.5,124.75,123.9,124.6,10478999
5,2022-07-11 10:30:00,124.6,124.6,124.35,124.45,11212967
6,2022-07-11 10:45:00,124.45,124.6,124.25,124.55,11784159
7,2022-07-11 11:00:00,124.55,125.3,124.5,125.2,13578058
8,2022-07-11 11:15:00,125.25,125.8,125.05,125.75,15282331
9,2022-07-11 11:30:00,125.75,125.75,124.7,124.75,16840858
10,2022-07-11 11:45:00,124.75,125.25,124.4,125.15,18390577
11,2022-07-11 12:00:00,125.05,125.4,124.85,125.3,19152224
12,2022-07-11 12:15:00,125.3,125.4,125.0,125.0,19713187
13,2022-07-11 12:30:00,125.05,125.3,124.85,125.2,20394048
14,2022-07-11 12:45:00,125.2,125.75,125.2,125.75,21425090
15,2022-07-11 13:00:00,125.75,125.9,125.5,125.85,22349985
16,2022-07-11 13:15:00,125.85,125.9,125.6,125.65,22934139
17,2022-07-11 13:30:00,125.7,125.9,125.4,125.55,23710157
18,2022-07-11 13:45:00,125.55,125.65,125.2,125.5,24321933
19,2022-07-11 14:00:00,125.5,125.7,125.4,125.55,24860679
20,2022-07-11 14:15:00,125.5,125.8,125.45,125.75,25308318
21,2022-07-11 14:30:00,125.75,125.9,125.3,125.4,26382191
22,2022-07-11 14:45:00,125.4,125.45,125.05,125.4,27433966
23,2022-07-11 15:00:00,125.35,125.75,125.25,125.35,29082427
24,2022-07-11 15:15:00,125.45,125.7,125.2,125.45,31517880
25,2022-07-11 15:30:00,125.5,125.5,125.5,125.5,31520727
26,2022-07-12 09:15:00,124.55,124.75,123.8,124.4,2335774
27,2022-07-12 09:30:00,124.45,124.8,123.9,124.65,4644360
28,2022-07-12 09:45:00,124.7,125.8,124.65,125.7,5965884
29,2022-07-12 10:00:00,125.7,126.4,125.6,125.85,7786296
30,2022-07-12 10:15:00,125.85,126.2,125.8,125.9,8805935
31,2022-07-12 10:30:00,125.85,126.45,125.8,126.25,9885091
32,2022-07-12 10:45:00,126.25,126.6,126.2,126.6,10661509
