,Date,o,h,l,c,v
0,2022-07-25 09:15:00,737.05,739.05,730.55,730.55,104342
1,2022-07-25 09:30:00,730.3,731.8,727.0,729.5,288328
2,2022-07-25 09:45:00,729.8,731.8,728.05,729.25,365460
3,2022-07-25 10:00:00,729.5,730.85,726.5,730.1,419705
4,2022-07-25 10:15:00,730.15,733.15,729.85,731.35,471229
5,2022-07-25 10:30:00,731.8,736.3,730.45,735.7,531381
6,2022-07-25 10:45:00,735.75,739.2,735.35,736.2,666820
7,2022-07-25 11:00:00,736.3,736.4,734.0,734.75,715351
8,2022-07-25 11:15:00,734.85,737.5,734.65,736.8,745274
9,2022-07-25 11:30:00,736.8,738.2,736.7,737.0,766251
10,2022-07-25 11:45:00,737.0,738.5,737.0,737.8,784585
11,2022-07-25 12:00:00,737.8,738.8,736.5,738.2,804291
12,2022-07-25 12:15:00,738.2,743.0,738.2,741.0,863106
13,2022-07-25 12:30:00,741.1,741.7,739.55,739.8,918049
14,2022-07-25 12:45:00,739.8,741.0,739.6,740.3,939017
15,2022-07-25 13:00:00,740.35,740.75,738.6,740.05,955136
16,2022-07-25 13:15:00,740.0,740.8,739.5,740.05,970518
17,2022-07-25 13:30:00,740.05,741.2,739.7,740.55,984440
18,2022-07-25 13:45:00,740.55,740.9,739.6,740.4,1004025
19,2022-07-25 14:00:00,740.3,743.55,739.8,741.5,1031282
20,2022-07-25 14:15:00,741.25,742.4,740.1,742.25,1067055
21,2022-07-25 14:30:00,742.25,744.0,740.15,740.5,1117034
22,2022-07-25 14:45:00,740.5,763.05,740.4,762.1,1260712
23,2022-07-25 15:00:00,762.15,762.4,755.0,757.95,1829949
24,2022-07-25 15:15:00,757.95,761.8,753.35,755.0,2143388
25,2022-07-25 15:30:00,755.0,758.0,755.0,758.0,2250347
