,Date,o,h,l,c,v
0,2022-07-25 09:15:00,117.25,117.35,116.4,116.75,53154
1,2022-07-25 09:30:00,116.65,116.95,115.25,115.4,129755
2,2022-07-25 09:45:00,115.3,115.45,114.05,114.75,213446
3,2022-07-25 10:00:00,114.75,115.05,114.3,115.05,281934
4,2022-07-25 10:15:00,115.1,117.15,114.8,116.7,464527
5,2022-07-25 10:30:00,116.7,118.25,116.55,117.5,633066
6,2022-07-25 10:45:00,117.5,117.75,117.1,117.2,765551
7,2022-07-25 11:00:00,117.2,117.2,116.5,116.8,818834
8,2022-07-25 11:15:00,116.75,116.9,116.45,116.9,847781
9,2022-07-25 11:30:00,116.9,117.3,116.7,117.0,862926
10,2022-07-25 11:45:00,117.0,117.7,117.0,117.6,879330
11,2022-07-25 12:00:00,117.6,117.95,117.45,117.5,908132
12,2022-07-25 12:15:00,117.6,117.7,117.3,117.3,925891
13,2022-07-25 12:30:00,117.3,117.75,116.95,117.7,945804
14,2022-07-25 12:45:00,117.6,118.4,117.6,117.9,1032121
15,2022-07-25 13:00:00,117.9,118.0,117.75,118.0,1058062
16,2022-07-25 13:15:00,118.0,119.0,117.75,118.55,1110918
17,2022-07-25 13:30:00,118.55,118.75,118.2,118.3,1178993
18,2022-07-25 13:45:00,118.3,118.7,118.3,118.6,1204050
19,2022-07-25 14:00:00,118.6,118.6,118.0,118.3,1235968
20,2022-07-25 14:15:00,118.3,118.75,118.2,118.35,1260024
21,2022-07-25 14:30:00,118.4,120.9,118.2,120.85,1373383
22,2022-07-25 14:45:00,120.9,121.4,120.3,121.1,1762736
23,2022-07-25 15:00:00,121.15,121.5,120.85,121.15,2046035
24,2022-07-25 15:15:00,121.2,122.4,120.95,121.5,2470368
25,2022-07-25 15:30:00,121.2,121.5,121.2,121.5,2662123
