,Date,o,h,l,c,v
0,2022-07-25 09:15:00,227.35,227.35,225.15,225.75,81242
1,2022-07-25 09:30:00,225.75,226.65,225.35,225.8,150334
2,2022-07-25 09:45:00,225.75,225.95,225.2,225.95,183027
3,2022-07-25 10:00:00,225.95,226.35,225.5,226.35,203614
4,2022-07-25 10:15:00,226.35,226.35,225.4,226.0,228881
5,2022-07-25 10:30:00,226.0,226.45,225.7,226.35,260721
6,2022-07-25 10:45:00,226.35,226.35,226.0,226.0,274161
7,2022-07-25 11:00:00,226.0,226.0,224.5,224.65,293256
8,2022-07-25 11:15:00,224.65,225.75,224.55,225.45,322738
9,2022-07-25 11:30:00,225.45,226.45,225.35,225.8,348727
10,2022-07-25 11:45:00,225.8,226.15,225.75,225.95,359621
11,2022-07-25 12:00:00,225.95,226.25,225.55,225.6,375255
12,2022-07-25 12:15:00,225.6,225.8,225.55,225.7,385035
13,2022-07-25 12:30:00,225.7,225.75,224.75,225.0,467177
14,2022-07-25 12:45:00,225.0,225.3,224.55,225.0,583512
15,2022-07-25 13:00:00,225.0,225.0,224.65,225.0,612749
16,2022-07-25 13:15:00,225.0,225.0,224.7,224.8,623451
17,2022-07-25 13:30:00,224.8,224.85,224.5,224.65,633982
18,2022-07-25 13:45:00,224.65,224.95,224.2,224.35,647037
19,2022-07-25 14:00:00,224.35,226.2,224.3,225.9,679632
20,2022-07-25 14:15:00,225.9,227.1,225.85,227.0,712144
21,2022-07-25 14:30:00,227.0,227.95,226.95,227.95,734994
22,2022-07-25 14:45:00,227.95,227.95,227.35,227.8,769659
23,2022-07-25 15:00:00,227.9,228.3,227.5,227.8,804506
24,2022-07-25 15:15:00,227.8,228.15,227.05,227.45,860641
25,2022-07-25 15:30:00,227.25,227.85,227.25,227.85,894536
