,Date,o,h,l,c,v
0,2022-07-11 09:15:00,108.65,109.45,108.65,108.95,134101
1,2022-07-11 09:30:00,108.95,109.2,108.6,109.2,219491
2,2022-07-11 09:45:00,109.1,109.4,109.1,109.3,270675
3,2022-07-11 10:00:00,109.35,109.5,109.1,109.1,337103
4,2022-07-11 10:15:00,109.1,109.6,109.0,109.55,430957
5,2022-07-11 10:30:00,109.55,109.55,109.15,109.2,482049
6,2022-07-11 10:45:00,109.2,109.3,109.05,109.05,510890
7,2022-07-11 11:00:00,109.05,109.15,109.0,109.15,542393
8,2022-07-11 11:15:00,109.15,109.15,108.75,108.85,596836
9,2022-07-11 11:30:00,108.9,109.25,108.8,109.0,626297
10,2022-07-11 11:45:00,109.0,109.1,108.85,109.0,644629
11,2022-07-11 12:00:00,109.1,109.4,109.1,109.35,671416
12,2022-07-11 12:15:00,109.35,109.5,109.3,109.4,724965
13,2022-07-11 12:30:00,109.4,109.55,109.3,109.5,759975
14,2022-07-11 12:45:00,109.5,109.7,109.5,109.6,853886
15,2022-07-11 13:00:00,109.65,109.7,109.55,109.7,988826
16,2022-07-11 13:15:00,109.7,109.9,109.65,109.75,1152796
17,2022-07-11 13:30:00,109.8,110.0,109.75,109.95,1236731
18,2022-07-11 13:45:00,109.95,110.0,109.75,109.85,1295335
19,2022-07-11 14:00:00,109.85,109.85,109.6,109.8,1356534
20,2022-07-11 14:15:00,109.8,110.0,109.75,109.95,1440353
21,2022-07-11 14:30:00,110.0,110.15,109.9,110.05,1550730
22,2022-07-11 14:45:00,110.05,110.2,109.95,110.1,1625327
23,2022-07-11 15:00:00,110.05,110.5,110.05,110.5,1778594
24,2022-07-11 15:15:00,110.45,110.55,110.3,110.4,1992989
25,2022-07-11 15:30:00,110.4,110.4,110.4,110.4,1994076
26,2022-07-12 09:15:00,110.3,110.3,109.15,109.4,127798
27,2022-07-12 09:30:00,109.35,109.65,109.2,109.5,262749
28,2022-07-12 09:45:00,109.5,109.7,109.35,109.6,324564
29,2022-07-12 10:00:00,109.7,110.25,109.6,110.2,429810
30,2022-07-12 10:15:00,110.25,110.35,110.1,110.25,499073
31,2022-07-12 10:30:00,110.25,110.45,110.2,110.4,545804
32,2022-07-12 10:45:00,110.4,110.7,110.35,110.6,630625
