,Date,o,h,l,c,v
0,2022-07-25 09:15:00,4219.9,4219.9,4195.0,4195.0,252
1,2022-07-25 09:30:00,4194.2,4203.55,4182.0,4190.0,634
2,2022-07-25 09:45:00,4191.65,4197.35,4183.0,4190.9,1172
3,2022-07-25 10:00:00,4187.1,4197.05,4183.8,4197.05,1230
4,2022-07-25 10:15:00,4197.85,4200.0,4185.2,4188.35,1411
5,2022-07-25 10:30:00,4188.35,4197.1,4185.2,4193.35,1615
6,2022-07-25 10:45:00,4193.35,4193.4,4188.3,4188.3,1712
7,2022-07-25 11:00:00,4188.3,4193.8,4187.2,4192.95,1738
8,2022-07-25 11:15:00,4192.95,4194.75,4186.25,4194.55,1757
9,2022-07-25 11:30:00,4194.55,4195.35,4185.2,4191.55,2067
10,2022-07-25 11:45:00,4191.55,4197.0,4191.0,4196.0,2147
11,2022-07-25 12:00:00,4195.85,4200.0,4191.05,4191.05,2222
12,2022-07-25 12:15:00,4191.05,4192.85,4183.0,4192.85,2330
13,2022-07-25 12:30:00,4192.85,4192.85,4183.0,4190.9,2384
14,2022-07-25 12:45:00,4190.9,4199.95,4190.0,4199.95,2537
15,2022-07-25 13:00:00,4194.05,4199.85,4187.8,4198.95,2644
16,2022-07-25 13:15:00,4198.95,4198.95,4187.9,4198.9,2673
17,2022-07-25 13:30:00,4198.9,4198.9,4183.0,4193.35,2907
18,2022-07-25 13:45:00,4193.35,4193.4,4191.4,4191.4,2987
19,2022-07-25 14:00:00,4185.15,4190.25,4183.0,4184.2,3196
20,2022-07-25 14:15:00,4184.2,4197.35,4183.0,4197.35,3328
21,2022-07-25 14:30:00,4197.35,4200.0,4183.0,4189.9,13684
22,2022-07-25 14:45:00,4189.9,4193.85,4183.05,4184.05,13892
23,2022-07-25 15:00:00,4184.05,4189.75,4175.0,4175.0,14144
24,2022-07-25 15:15:00,4175.0,4187.95,4171.25,4171.25,14468
25,2022-07-25 15:30:00,4180.25,4180.25,4180.25,4180.25,14645
