,Date,o,h,l,c,v
0,2022-07-25 09:15:00,14184.2,14294.6,14160.0,14214.25,172
1,2022-07-25 09:30:00,14210.0,14239.95,14161.65,14180.0,340
2,2022-07-25 09:45:00,14197.95,14200.0,14161.7,14161.7,521
3,2022-07-25 10:00:00,14161.7,14161.7,14117.0,14124.85,570
4,2022-07-25 10:15:00,14124.85,14147.3,14114.0,14115.0,626
5,2022-07-25 10:30:00,14115.0,14155.95,14114.0,14153.6,657
6,2022-07-25 10:45:00,14125.05,14125.05,14071.0,14083.95,760
7,2022-07-25 11:00:00,14091.0,14133.45,14071.0,14115.95,862
8,2022-07-25 11:15:00,14115.95,14124.65,14071.0,14071.0,905
9,2022-07-25 11:30:00,14071.0,14093.75,14057.25,14070.95,1073
10,2022-07-25 11:45:00,14070.95,14113.65,14070.95,14080.15,1146
11,2022-07-25 12:00:00,14102.1,14142.75,14080.1,14120.85,1216
12,2022-07-25 12:15:00,14120.85,14135.9,14113.75,14122.8,1283
13,2022-07-25 12:30:00,14122.8,14142.45,14109.95,14109.95,1296
14,2022-07-25 12:45:00,14109.95,14141.55,14109.95,14128.85,1318
15,2022-07-25 13:00:00,14147.5,14147.5,14125.2,14126.95,1335
16,2022-07-25 13:15:00,14126.95,14144.35,14124.1,14124.1,1349
17,2022-07-25 13:30:00,14124.1,14156.0,14124.1,14155.8,1371
18,2022-07-25 13:45:00,14155.8,14175.0,14137.15,14162.0,1454
19,2022-07-25 14:00:00,14170.0,14209.0,14170.0,14209.0,1590
20,2022-07-25 14:15:00,14209.0,14250.05,14193.05,14250.05,1952
21,2022-07-25 14:30:00,14250.05,14386.25,14250.05,14370.0,2365
22,2022-07-25 14:45:00,14370.1,14401.1,14351.15,14396.9,2892
23,2022-07-25 15:00:00,14397.1,14436.0,14384.15,14405.7,3114
24,2022-07-25 15:15:00,14429.95,14440.0,14370.0,14370.0,3421
25,2022-07-25 15:30:00,14370.0,14404.25,14370.0,14404.25,3604
