,Date,o,h,l,c,v
0,2022-07-11 09:15:00,4273.0,4309.0,4273.0,4305.0,258
1,2022-07-11 09:30:00,4306.0,4313.0,4300.7,4303.7,355
2,2022-07-11 09:45:00,4303.7,4315.0,4285.0,4285.0,488
3,2022-07-11 10:00:00,4285.0,4303.75,4283.0,4299.6,622
4,2022-07-11 10:15:00,4299.6,4312.55,4299.6,4300.0,696
5,2022-07-11 10:30:00,4295.8,4299.8,4286.05,4298.0,760
6,2022-07-11 10:45:00,4298.0,4302.85,4294.65,4302.85,827
7,2022-07-11 11:00:00,4297.4,4302.8,4290.0,4294.8,951
8,2022-07-11 11:15:00,4294.8,4300.0,4291.1,4299.95,1084
9,2022-07-11 11:30:00,4299.95,4300.0,4291.8,4295.95,1123
10,2022-07-11 11:45:00,4295.95,4300.0,4291.1,4296.9,1203
11,2022-07-11 12:00:00,4290.0,4299.95,4290.0,4292.65,1331
12,2022-07-11 12:15:00,4295.15,4297.35,4287.15,4287.15,1368
13,2022-07-11 12:30:00,4287.15,4289.2,4282.75,4289.2,1382
14,2022-07-11 12:45:00,4289.2,4292.9,4287.1,4292.05,1431
15,2022-07-11 13:00:00,4287.15,4294.25,4287.15,4291.3,1452
16,2022-07-11 13:15:00,4291.3,4294.95,4287.3,4294.95,1473
17,2022-07-11 13:30:00,4294.95,4300.0,4294.95,4300.0,1525
18,2022-07-11 13:45:00,4300.0,4300.0,4297.0,4300.0,1659
19,2022-07-11 14:00:00,4300.0,4300.0,4287.15,4297.1,1741
20,2022-07-11 14:15:00,4297.2,4299.85,4287.15,4295.35,1795
21,2022-07-11 14:30:00,4292.0,4295.85,4288.2,4295.75,1812
22,2022-07-11 14:45:00,4295.75,4295.75,4283.0,4289.9,1992
23,2022-07-11 15:00:00,4289.9,4297.95,4284.95,4297.95,2069
24,2022-07-11 15:15:00,4298.0,4300.0,4284.3,4292.0,2277
25,2022-07-11 15:30:00,4293.35,4293.35,4293.35,4293.35,2277
26,2022-07-12 09:15:00,4292.0,4314.85,4292.0,4309.65,17
27,2022-07-12 09:30:00,4309.65,4309.65,4300.05,4304.45,36
28,2022-07-12 09:45:00,4304.45,4306.95,4291.2,4291.25,75
29,2022-07-12 10:00:00,4291.25,4299.35,4291.25,4295.0,142
30,2022-07-12 10:15:00,4295.0,4299.0,4293.05,4299.0,258
31,2022-07-12 10:30:00,4299.0,4300.0,4293.5,4295.45,310
32,2022-07-12 10:45:00,4295.45,4300.0,4295.45,4296.0,579
