,Date,o,h,l,c,v
0,2022-07-25 09:15:00,1238.85,1248.25,1233.4,1233.9,4407
1,2022-07-25 09:30:00,1234.25,1247.0,1232.15,1246.8,6807
2,2022-07-25 09:45:00,1246.8,1259.35,1243.95,1254.55,79854
3,2022-07-25 10:00:00,1254.35,1255.45,1251.4,1255.45,118192
4,2022-07-25 10:15:00,1255.3,1255.5,1251.9,1254.6,122019
5,2022-07-25 10:30:00,1254.6,1258.55,1247.1,1253.0,129100
6,2022-07-25 10:45:00,1253.0,1254.25,1248.95,1252.95,133770
7,2022-07-25 11:00:00,1252.95,1259.6,1252.95,1256.9,138548
8,2022-07-25 11:15:00,1256.9,1258.9,1254.05,1256.8,143468
9,2022-07-25 11:30:00,1256.8,1258.9,1255.8,1258.8,146422
10,2022-07-25 11:45:00,1258.3,1258.9,1256.7,1257.7,149487
11,2022-07-25 12:00:00,1257.7,1261.0,1252.85,1252.85,152894
12,2022-07-25 12:15:00,1252.75,1259.9,1250.45,1256.55,159099
13,2022-07-25 12:30:00,1256.55,1257.2,1247.9,1248.75,162279
14,2022-07-25 12:45:00,1245.65,1248.7,1245.2,1246.5,164579
15,2022-07-25 13:00:00,1246.5,1246.9,1232.25,1232.7,165308
16,2022-07-25 13:15:00,1232.7,1233.15,1224.15,1232.55,169687
17,2022-07-25 13:30:00,1232.55,1237.0,1231.0,1236.7,171198
18,2022-07-25 13:45:00,1236.7,1239.25,1234.25,1237.1,172639
19,2022-07-25 14:00:00,1237.1,1240.85,1234.9,1236.35,173742
20,2022-07-25 14:15:00,1236.35,1239.7,1235.65,1239.55,174918
21,2022-07-25 14:30:00,1239.55,1241.0,1238.45,1240.75,176395
22,2022-07-25 14:45:00,1240.75,1242.95,1240.0,1242.3,177366
23,2022-07-25 15:00:00,1241.6,1245.7,1240.0,1241.8,179436
24,2022-07-25 15:15:00,1241.8,1253.0,1241.0,1241.3,185136
25,2022-07-25 15:30:00,1241.3,1242.65,1241.3,1242.65,187878
