,Date,o,h,l,c,v
0,2022-07-25 09:15:00,2358.2,2364.75,2351.7,2363.2,11295
1,2022-07-25 09:30:00,2363.4,2364.7,2354.45,2361.0,24894
2,2022-07-25 09:45:00,2361.0,2362.4,2352.5,2359.0,33365
3,2022-07-25 10:00:00,2359.3,2367.8,2359.0,2367.45,43171
4,2022-07-25 10:15:00,2366.55,2384.0,2365.8,2381.05,65568
5,2022-07-25 10:30:00,2380.0,2383.8,2369.1,2370.3,87917
6,2022-07-25 10:45:00,2370.3,2370.9,2355.2,2361.3,108262
7,2022-07-25 11:00:00,2361.3,2361.5,2346.05,2346.5,122279
8,2022-07-25 11:15:00,2346.5,2349.85,2341.65,2345.0,133831
9,2022-07-25 11:30:00,2345.0,2345.75,2337.3,2340.5,145185
10,2022-07-25 11:45:00,2340.5,2341.6,2333.05,2338.0,155096
11,2022-07-25 12:00:00,2339.15,2341.9,2333.0,2335.85,163559
12,2022-07-25 12:15:00,2335.85,2343.6,2334.25,2335.65,170256
13,2022-07-25 12:30:00,2335.65,2336.8,2325.05,2328.0,181335
14,2022-07-25 12:45:00,2328.0,2331.0,2320.0,2321.0,195431
15,2022-07-25 13:00:00,2321.0,2328.5,2318.1,2325.8,207811
16,2022-07-25 13:15:00,2325.55,2328.55,2322.0,2325.8,220023
17,2022-07-25 13:30:00,2326.4,2326.45,2320.1,2322.6,228586
18,2022-07-25 13:45:00,2322.6,2334.25,2321.7,2332.55,241078
19,2022-07-25 14:00:00,2332.55,2340.95,2331.05,2340.05,254163
20,2022-07-25 14:15:00,2340.05,2342.6,2336.5,2338.05,268297
21,2022-07-25 14:30:00,2338.05,2343.6,2338.05,2341.5,277616
22,2022-07-25 14:45:00,2341.5,2342.8,2335.0,2340.75,287926
23,2022-07-25 15:00:00,2340.75,2341.0,2333.0,2335.1,298813
24,2022-07-25 15:15:00,2335.15,2337.1,2327.0,2332.0,315421
25,2022-07-25 15:30:00,2332.0,2333.3,2332.0,2333.3,323386
